Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	209.594	0	9.548	0	207.359	9.133	0	207.359	207.896	255	255
2	210.712	0	33.418	0	207.359	33.626	0	207.359	208.156	255	255
3	211.314	0	58.326	0	207.359	58.326	0	207.359	208.320	255	255
4	212.088	0	82.611	0	207.359	83.649	0	207.361	208.738	255	255
5	213.549	0	107.935	0	207.359	108.765	0	207.361	209.304	255	255
6	214.151	0	132.220	0	207.359	133.258	0	207.361	209.378	255	255
7	213.807	0	157.335	0	207.359	158.373	0	207.361	208.989	255	255
8	214.065	0	183.074	0	207.359	183.489	0	207.359	209.147	255	255
9	215.011	0	208.604	0	207.359	208.397	0	207.359	209.491	255	255
10	217.160	0	233.512	0	207.359	233.927	0	207.359	211.366	255	255
11	219.224	0	257.590	0	207.359	258.420	0	207.361	212.053	255	255
12	223.371	0	282.290	0	207.359	283.536	0	207.363	215.604	255	255
13	219.568	0	307.406	0	207.359	308.236	0	207.361	212.238	255	255
14	219.912	0	331.899	0	207.359	332.314	0	207.359	212.128	255	255
15	218.622	0	356.599	0	207.359	357.637	0	207.361	211.329	255	255
16	217.246	0	381.507	0	207.359	382.130	0	207.360	210.778	255	255
17	218.794	0	405.792	0	207.359	407.245	0	207.364	211.168	255	255
18	216.988	0	431.323	0	207.359	431.323	0	207.359	210.073	255	255
19	218.450	0	456.439	0	207.359	456.646	0	207.359	211.085	255	255
20	220.771	0	481.969	0	207.359	481.969	0	207.359	213.030	255	255
