Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	263.927	0	9.081	0	259.199	9.081	0	259.199	260.329	255	255
2	264.465	0	39.697	0	259.199	40.475	0	259.200	260.399	255	255
3	263.712	0	70.832	0	259.199	71.351	0	259.199	260.257	255	255
4	263.820	0	102.486	0	259.199	102.226	0	259.199	260.303	255	255
5	264.357	0	133.880	0	259.199	133.880	0	259.199	260.410	255	255
6	264.895	0	165.794	0	259.199	165.015	0	259.200	260.519	255	255
7	265.432	0	196.929	0	259.199	196.929	0	259.199	260.726	255	255
8	264.680	0	227.804	0	259.199	228.583	0	259.200	260.547	255	255
9	268.978	0	259.718	0	259.199	261.534	0	259.205	261.672	255	255
10	266.722	0	291.112	0	259.199	291.631	0	259.199	261.022	255	255
11	270.913	0	322.506	0	259.199	323.804	0	259.202	262.974	255	255
12	269.838	0	353.382	0	259.199	354.160	0	259.200	262.071	255	255
13	270.268	0	385.036	0	259.199	385.295	0	259.199	262.321	255	255
14	274.245	0	416.171	0	259.199	416.171	0	259.199	264.897	255	255
15	273.752	0	446.268	0	259.199	447.306	0	259.201	265.555	255	255
16	274.271	0	477.662	0	259.199	478.700	0	259.201	266.051	255	255
17	275.282	0	509.057	0	259.199	510.614	0	259.203	266.675	255	255
18	272.462	0	540.970	0	259.199	542.527	0	259.203	264.765	255	255
19	270.806	0	573.662	0	259.199	576.256	0	259.212	262.613	255	255
20	268.871	0	604.278	0	259.199	606.354	0	259.207	261.822	255	255
