Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	210.196	0	8.718	0	207.359	9.340	0	207.360	208.037	255	255
2	210.540	0	34.456	0	207.359	34.248	0	207.359	208.129	255	255
3	210.626	0	59.364	0	207.359	59.364	0	207.359	208.123	255	255
4	209.938	0	83.857	0	207.359	84.272	0	207.359	207.975	255	255
5	210.540	0	108.765	0	207.359	108.972	0	207.359	208.129	255	255
6	211.228	0	133.465	0	207.359	134.088	0	207.360	208.276	255	255
7	211.400	0	158.373	0	207.359	158.996	0	207.360	208.418	255	255
8	211.228	0	183.489	0	207.359	183.696	0	207.359	208.400	255	255
9	212.260	0	208.604	0	207.359	208.812	0	207.359	208.569	255	255
10	211.916	0	234.135	0	207.359	234.343	0	207.359	208.440	255	255
11	212.260	0	258.420	0	207.359	258.628	0	207.359	208.530	255	255
12	211.744	0	283.743	0	207.359	283.536	0	207.359	208.423	255	255
13	211.142	0	307.406	0	207.359	308.651	0	207.363	208.259	255	255
14	211.400	0	332.314	0	207.359	333.352	0	207.361	208.300	255	255
15	211.056	0	357.222	0	207.359	358.260	0	207.361	208.226	255	255
16	212.432	0	381.922	0	207.359	382.960	0	207.361	208.572	255	255
17	212.346	0	406.830	0	207.359	407.661	0	207.361	208.551	255	255
18	214.753	0	431.946	0	207.359	432.361	0	207.359	209.633	255	255
19	212.432	0	456.854	0	207.359	457.476	0	207.360	208.567	255	255
20	212.603	0	481.347	0	207.359	481.969	0	207.360	208.613	255	255
