Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	210.626	0	8.718	0	207.359	9.963	0	207.363	208.140	255	255
2	211.056	0	33.833	0	207.359	34.871	0	207.361	208.210	255	255
3	210.712	0	57.911	0	207.359	59.779	0	207.367	208.137	255	255
4	210.540	0	83.027	0	207.359	84.895	0	207.367	208.118	255	255
5	210.798	0	107.727	0	207.359	109.388	0	207.366	208.181	255	255
6	211.056	0	132.843	0	207.359	134.296	0	207.364	208.243	255	255
7	211.056	0	157.335	0	207.359	159.203	0	207.367	208.210	255	255
8	210.540	0	182.451	0	207.359	183.489	0	207.361	208.119	255	255
9	211.056	0	207.151	0	207.359	208.604	0	207.364	208.243	255	255
10	210.970	0	231.852	0	207.359	233.512	0	207.366	208.232	255	255
11	210.970	0	256.760	0	207.359	258.420	0	207.366	208.222	255	255
12	211.314	0	282.290	0	207.359	283.121	0	207.361	208.296	255	255
13	211.056	0	306.991	0	207.359	308.029	0	207.361	208.243	255	255
14	210.712	0	332.106	0	207.359	333.144	0	207.361	208.160	255	255
15	210.798	0	357.014	0	207.359	357.845	0	207.361	208.181	255	255
16	211.916	0	381.922	0	207.359	382.960	0	207.361	208.448	255	255
17	211.572	0	406.623	0	207.359	407.661	0	207.361	208.366	255	255
18	211.658	0	431.531	0	207.359	432.776	0	207.363	208.387	255	255
19	212.088	0	456.439	0	207.359	457.476	0	207.361	208.467	255	255
20	211.400	0	480.931	0	207.359	481.969	0	207.361	208.296	255	255
