Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	213.119	0	9.756	0	207.359	7.888	0	207.367	208.774	255	255
2	212.689	0	35.909	0	207.359	31.758	0	207.400	208.621	255	255
3	212.861	0	59.156	0	207.359	56.251	0	207.379	208.657	255	255
4	211.916	0	84.687	0	207.359	81.574	0	207.382	208.444	255	255
5	212.689	0	108.557	0	207.359	108.142	0	207.359	208.719	255	255
6	213.033	0	133.880	0	207.359	132.635	0	207.363	208.694	255	255
7	212.518	0	160.034	0	207.359	156.298	0	207.393	208.608	255	255
8	213.549	0	184.319	0	207.359	182.243	0	207.369	208.845	255	255
9	213.463	0	208.604	0	207.359	206.736	0	207.367	208.934	255	255
10	213.549	0	235.380	0	207.359	231.229	0	207.400	209.084	255	255
11	214.581	0	258.420	0	207.359	255.929	0	207.374	209.524	255	255
12	211.658	0	284.366	0	207.359	281.875	0	207.374	208.387	255	255
13	213.893	0	309.274	0	207.359	305.953	0	207.385	209.070	255	255
14	213.377	0	333.352	0	207.359	330.861	0	207.374	208.882	255	255
15	214.581	0	360.128	0	207.359	356.807	0	207.385	209.174	255	255
16	215.183	0	383.375	0	207.359	381.922	0	207.364	209.355	255	255
17	217.332	0	407.661	0	207.359	406.830	0	207.361	210.269	255	255
18	215.613	0	433.606	0	207.359	430.285	0	207.385	209.431	255	255
19	214.495	0	459.760	0	207.359	456.231	0	207.389	209.194	255	255
20	214.065	0	483.007	0	207.359	480.101	0	207.379	209.039	255	255
