Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	210.626	0	8.095	0	207.359	8.510	0	207.359	208.136	255	255
2	209.508	0	33.211	0	207.359	33.418	0	207.359	207.903	255	255
3	210.626	0	57.081	0	207.359	58.326	0	207.363	208.132	255	255
4	211.056	0	81.574	0	207.359	82.611	0	207.361	208.248	255	255
5	210.454	0	107.312	0	207.359	107.727	0	207.359	208.099	255	255
6	211.056	0	131.805	0	207.359	132.843	0	207.361	208.243	255	255
7	211.658	0	156.920	0	207.359	157.335	0	207.359	208.394	255	255
8	212.432	0	181.828	0	207.359	183.281	0	207.364	208.559	255	255
9	211.228	0	206.736	0	207.359	207.774	0	207.361	208.284	255	255
10	213.033	0	232.267	0	207.359	233.512	0	207.363	208.719	255	255
11	212.174	0	256.552	0	207.359	258.213	0	207.366	208.521	255	255
12	212.260	0	280.837	0	207.359	283.951	0	207.382	208.580	255	255
13	212.174	0	305.745	0	207.359	308.236	0	207.374	208.533	255	255
14	213.893	0	330.861	0	207.359	334.597	0	207.393	209.066	255	255
15	212.432	0	355.769	0	207.359	359.713	0	207.396	208.573	255	255
16	212.260	0	380.262	0	207.359	383.375	0	207.382	208.546	255	255
17	212.174	0	405.170	0	207.359	408.076	0	207.379	208.580	255	255
18	212.861	0	430.078	0	207.359	432.984	0	207.379	208.677	255	255
19	211.744	0	454.986	0	207.359	457.684	0	207.376	208.407	255	255
20	213.463	0	479.063	0	207.359	483.422	0	207.405	208.933	255	255
