Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	210.454	0.000	10.378	0	207.359	9.963	0	207.359	208.078	255	255
2	209.680	0.000	35.494	0	207.359	34.871	0	207.360	207.914	255	255
3	211.056	0.000	60.817	0	207.359	59.779	0	207.361	208.243	255	255
4	211.486	0.000	87.801	0	207.359	84.480	0	207.385	208.423	255	255
5	212.603	0.000	113.954	0	207.359	109.180	0	207.414	208.846	255	255
6	212.518	0.000	135.956	0	207.359	133.880	0	207.369	208.656	255	255
7	213.893	0.000	159.203	0	207.359	158.788	0	207.359	209.092	255	255
8	212.947	0.000	184.111	0	207.359	184.319	0	207.359	208.741	255	255
9	216.215	0.000	210.265	0	207.359	209.227	0	207.361	210.208	255	255
10	217.074	0.000	233.512	0	207.359	234.135	0	207.360	211.397	255	255
11	216.558	0.000	257.590	0	207.359	258.628	0	207.361	210.375	255	255
12	215.871	0.000	282.913	0	207.359	283.121	0	207.359	210.555	255	255
13	216.386	0.000	308.029	0	207.359	308.236	0	207.359	210.784	255	255
14	216.129	0.000	332.937	0	207.359	332.937	0	207.359	210.421	255	255
15	216.129	0.000	357.845	0	207.359	357.429	0	207.359	210.126	255	255
16	215.957	0.000	382.130	0	207.359	382.545	0	207.359	210.194	255	255
17	215.699	0.000	407.453	0	207.359	407.661	0	207.359	209.895	255	255
18	216.215	0.000	432.153	0	207.359	431.946	0	207.359	210.342	255	255
19	216.644	0.000	456.439	0	207.359	457.269	0	207.361	210.311	255	255
20	215.097	0.000	481.347	0	207.359	483.007	0	207.366	209.806	255	255
21	40.478	166.676	497.952	0	204.661	497.744	0	37.985	38.888	255	255
22	10.135	187.848	473.044	0	197.811	473.044	0	9.963	10.004	255	255
