Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	211.142	0	10.378	0	207.359	7.888	0	207.374	208.263	255	255
2	210.282	0	35.079	0	207.359	32.588	0	207.374	208.058	255	255
3	210.454	0	60.402	0	207.359	57.496	0	207.379	208.100	255	255
4	210.970	0	85.725	0	207.359	82.819	0	207.379	208.218	255	255
5	210.626	0	110.425	0	207.359	107.519	0	207.379	208.140	255	255
6	211.228	0	135.333	0	207.359	132.220	0	207.382	208.303	255	255
7	212.088	0	160.656	0	207.359	156.713	0	207.396	208.440	255	255
8	211.830	0	185.980	0	207.359	180.998	0	207.419	208.395	255	255
9	211.314	0	210.680	0	207.359	206.529	0	207.400	208.304	255	255
10	213.033	0	235.796	0	207.359	230.814	0	207.419	208.728	255	255
11	213.205	0	261.326	0	207.359	255.929	0	207.429	208.858	255	255
12	213.033	0	283.536	0	207.359	280.630	0	207.379	208.768	255	255
13	213.377	0	308.444	0	207.359	305.538	0	207.379	208.953	255	255
14	213.119	0	333.974	0	207.359	330.446	0	207.389	208.793	255	255
15	212.861	0	358.675	0	207.359	354.939	0	207.393	208.674	255	255
16	212.689	0	383.168	0	207.359	379.847	0	207.385	208.674	255	255
17	212.088	0	407.868	0	207.359	404.755	0	207.382	208.528	255	255
18	212.088	0	432.984	0	207.359	429.870	0	207.382	208.473	255	255
19	212.260	0	458.514	0	207.359	454.986	0	207.389	208.521	255	255
20	212.432	0	483.215	0	207.359	479.271	0	207.396	208.612	255	255
