Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	210.282	0	8.303	0	207.359	6.227	0	207.369	208.037	255	255
2	210.540	0	33.003	0	207.359	31.550	0	207.364	208.103	255	255
3	211.400	0	57.081	0	207.359	56.458	0	207.360	208.346	255	255
4	210.454	0	82.819	0	207.359	80.743	0	207.369	208.099	255	255
5	210.282	0	106.897	0	207.359	106.066	0	207.361	208.033	255	255
6	211.400	0	131.805	0	207.359	130.767	0	207.361	208.288	255	255
7	210.884	0	156.920	0	207.359	156.298	0	207.360	208.202	255	255
8	210.454	0	181.206	0	207.359	181.206	0	207.359	208.099	255	255
9	211.228	0	207.359	0	207.359	205.906	0	207.364	208.276	255	255
10	210.368	0	233.512	0	207.359	232.890	0	207.360	208.088	255	255
11	210.282	0	257.798	0	207.359	257.382	0	207.359	208.041	255	255
12	210.540	0	282.290	0	207.359	282.913	0	207.360	208.119	255	255
13	210.626	0	308.029	0	207.359	307.613	0	207.359	208.140	255	255
14	211.228	0	334.597	0	207.359	334.805	0	207.359	208.299	255	255
15	210.970	0	359.505	0	207.359	360.751	0	207.363	208.214	255	255
16	210.368	0	383.790	0	207.359	384.828	0	207.361	208.088	255	255
17	210.368	0	409.529	0	207.359	409.736	0	207.359	208.078	255	255
18	210.798	0	434.644	0	207.359	434.644	0	207.359	208.194	255	255
19	211.400	0	459.345	0	207.359	459.137	0	207.359	208.340	255	255
20	210.712	0	484.045	0	207.359	484.253	0	207.359	208.176	255	255
