Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	211.658	0	9.548	0	207.359	9.548	0	207.359	208.389	255	255
2	210.884	0	35.286	0	207.359	34.248	0	207.361	208.202	255	255
3	211.314	0	59.987	0	207.359	59.572	0	207.359	208.296	255	255
4	211.228	0	85.517	0	207.359	84.480	0	207.361	208.292	255	255
5	211.228	0	110.010	0	207.359	109.388	0	207.360	208.284	255	255
6	210.884	0	134.918	0	207.359	134.296	0	207.360	208.227	255	255
7	211.486	0	160.034	0	207.359	159.203	0	207.361	208.345	255	255
8	212.088	0	184.734	0	207.359	184.527	0	207.359	208.496	255	255
9	210.970	0	209.019	0	207.359	209.019	0	207.359	208.219	255	255
10	211.658	0	235.173	0	207.359	234.343	0	207.361	208.387	255	255
11	212.775	0	259.873	0	207.359	259.666	0	207.359	208.621	255	255
12	212.518	0	285.196	0	207.359	285.196	0	207.359	208.600	255	255
13	211.056	0	309.689	0	207.359	309.482	0	207.359	208.230	255	255
14	211.658	0	334.597	0	207.359	334.597	0	207.359	208.378	255	255
15	211.400	0	359.090	0	207.359	359.298	0	207.359	208.325	255	255
16	211.228	0	384.206	0	207.359	383.998	0	207.359	208.301	255	255
17	211.830	0	409.736	0	207.359	409.321	0	207.359	208.428	255	255
18	212.088	0	434.644	0	207.359	434.852	0	207.359	208.481	255	255
19	210.454	0	458.929	0	207.359	459.760	0	207.361	208.091	255	255
20	211.056	0	484.045	0	207.359	484.668	0	207.360	208.234	255	255
