Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	211.314	0	8.718	0	207.359	6.642	0	207.369	208.271	255	255
2	211.228	0	34.041	0	207.359	31.343	0	207.376	208.284	255	255
3	210.712	0	58.949	0	207.359	56.666	0	207.371	208.152	255	255
4	211.658	0	83.857	0	207.359	81.366	0	207.374	208.370	255	255
5	211.916	0	108.765	0	207.359	105.651	0	207.382	208.448	255	255
6	211.916	0	133.258	0	207.359	130.974	0	207.371	208.436	255	255
7	211.314	0	157.751	0	207.359	156.090	0	207.366	208.292	255	255
8	211.916	0	182.866	0	207.359	180.998	0	207.367	208.472	255	255
9	215.441	0	208.189	0	207.359	205.283	0	207.379	209.642	255	255
10	219.482	0	233.097	0	207.359	230.814	0	207.371	212.504	255	255
11	217.418	0	259.043	0	207.359	255.099	0	207.396	211.697	255	255
12	220.069	0	283.536	0	207.359	279.592	0	207.396	214.839	255	255
13	216.472	0	310.104	0	207.359	304.708	0	207.429	210.452	255	255
14	217.762	0	335.427	0	207.359	328.578	0	207.472	210.883	255	255
15	215.613	0	358.052	0	207.359	354.316	0	207.393	209.792	255	255
16	217.160	0	383.375	0	207.359	379.224	0	207.400	210.417	255	255
17	218.536	0	408.076	0	207.359	404.339	0	207.393	211.152	255	255
18	215.699	0	432.153	0	207.359	429.870	0	207.371	209.896	255	255
19	215.699	0	456.646	0	207.359	455.193	0	207.364	209.767	255	255
20	216.129	0	481.554	0	207.359	479.894	0	207.366	209.673	255	255
