Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	209.766	0	8.303	0	207.359	7.888	0	207.359	207.934	255	255
2	210.368	0	33.211	0	207.359	32.173	0	207.361	208.104	255	255
3	210.970	0	58.326	0	207.359	57.081	0	207.363	208.222	255	255
4	210.024	0	83.649	0	207.359	82.611	0	207.361	208.013	255	255
5	211.056	0	108.350	0	207.359	107.312	0	207.361	208.218	255	255
6	210.798	0	133.673	0	207.359	132.012	0	207.366	208.183	255	255
7	211.400	0	158.788	0	207.359	156.920	0	207.367	208.340	255	255
8	210.884	0	183.489	0	207.359	182.451	0	207.361	208.202	255	255
9	212.002	0	208.604	0	207.359	207.359	0	207.363	208.469	255	255
10	212.260	0	234.135	0	207.359	233.097	0	207.361	208.538	255	255
11	212.432	0	257.382	0	207.359	257.590	0	207.359	208.563	255	255
12	211.400	0	283.328	0	207.359	282.706	0	207.360	208.317	255	255
13	211.314	0	308.236	0	207.359	307.406	0	207.361	208.326	255	255
14	211.572	0	332.521	0	207.359	332.314	0	207.359	208.389	255	255
15	212.260	0	357.637	0	207.359	357.845	0	207.359	208.530	255	255
16	213.979	0	382.337	0	207.359	381.715	0	207.360	209.065	255	255
17	212.518	0	407.661	0	207.359	407.245	0	207.359	208.605	255	255
18	212.775	0	432.361	0	207.359	431.738	0	207.360	208.856	255	255
19	213.807	0	457.061	0	207.359	457.269	0	207.359	209.149	255	255
20	211.486	0	482.384	0	207.359	481.139	0	207.363	208.348	255	255
