Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	211.486	0	8.510	0	207.359	8.925	0	207.359	208.312	255	255
2	211.056	0	34.041	0	207.359	33.418	0	207.360	208.243	255	255
3	211.572	0	58.741	0	207.359	59.364	0	207.360	208.362	255	255
4	211.658	0	83.649	0	207.359	83.649	0	207.359	208.387	255	255
5	211.486	0	108.142	0	207.359	108.972	0	207.361	208.345	255	255
6	215.011	0	132.843	0	207.359	133.465	0	207.360	209.565	255	255
7	219.396	0	158.166	0	207.359	158.996	0	207.361	211.520	255	255
8	216.300	0	183.489	0	207.359	183.074	0	207.359	210.260	255	255
9	219.138	0	208.397	0	207.359	208.604	0	207.359	211.942	255	255
10	216.215	0	233.097	0	207.359	232.890	0	207.359	210.515	255	255
11	216.386	0	257.382	0	207.359	258.835	0	207.364	210.390	255	255
12	215.441	0	282.083	0	207.359	282.498	0	207.359	210.113	255	255
13	214.581	0	307.198	0	207.359	308.029	0	207.361	209.509	255	255
14	213.119	0	332.729	0	207.359	332.937	0	207.359	208.825	255	255
15	213.807	0	357.637	0	207.359	358.260	0	207.360	208.995	255	255
16	212.947	0	382.753	0	207.359	383.375	0	207.360	208.708	255	255
17	213.291	0	407.453	0	207.359	408.906	0	207.364	209.117	255	255
18	213.721	0	431.738	0	207.359	433.399	0	207.366	209.310	255	255
19	213.721	0	456.646	0	207.359	458.307	0	207.366	209.330	255	255
20	214.581	0	481.347	0	207.359	482.177	0	207.361	209.589	255	255
