Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance	running average length	average intensity (inner 3rd)	average intensity
1	209.852	0.000	9.548	0	207.359	8.510	0	207.361	207.964	255	255
2	210.282	0.000	34.248	0	207.359	33.418	0	207.361	208.058	255	255
3	210.626	0.000	59.572	0	207.359	57.911	0	207.366	208.140	255	255
4	210.970	0.000	85.102	0	207.359	83.857	0	207.363	208.224	255	255
5	211.228	0.000	109.803	0	207.359	109.180	0	207.360	208.284	255	255
6	212.775	0.000	134.503	0	207.359	134.296	0	207.359	208.770	255	255
7	214.323	0.000	158.788	0	207.359	158.166	0	207.360	209.125	255	255
8	213.635	0.000	183.281	0	207.359	183.904	0	207.360	208.880	255	255
9	216.902	0.000	208.189	0	207.359	209.642	0	207.364	209.982	255	255
10	216.129	0.000	233.305	0	207.359	233.305	0	207.359	209.704	255	255
11	217.074	0.000	258.005	0	207.359	257.382	0	207.360	210.080	255	255
12	215.957	0.000	282.498	0	207.359	281.668	0	207.361	209.624	255	255
13	215.097	0.000	307.613	0	207.359	307.198	0	207.359	209.294	255	255
14	214.151	0.000	333.144	0	207.359	332.106	0	207.361	209.004	255	255
15	213.979	0.000	358.052	0	207.359	357.014	0	207.361	208.933	255	255
16	213.377	0.000	382.753	0	207.359	381.092	0	207.366	208.827	255	255
17	212.088	0.000	407.453	0	207.359	406.415	0	207.361	208.497	255	255
18	212.174	0.000	431.946	0	207.359	431.116	0	207.361	208.510	255	255
19	213.463	0.000	457.061	0	207.359	455.608	0	207.364	208.765	255	255
20	211.916	0.000	482.177	0	207.359	481.139	0	207.361	208.464	255	255
21	26.319	133.258	497.952	0	158.373	497.952	0	25.116	25.485	255	255
