 	Label	X	Y	Slice
1	3D_eve-Gap1_t60s_z3_E4.tif:0040-0100-1446:39	418	29	36
2	3D_eve-Gap1_t60s_z3_E4.tif:0040-0100-1446:39	380	26	40
