stage	position	distance	mean	sd	n_cuts	n_embryos
early	both	all	0.0289790319	0.0384273927	21	18
mid	both	all	0.0914022830	0.0879991526	34	26
late	both	all	0.1015893853	0.1243184459	26	22
early	anterior	all	0.0166197001	0.0248929345	12	11
early	posterior	all	0.0454581409	0.0480103685	 9	 7
mid	anterior	all	0.0829006780	0.1101967792	16	13
mid	posterior	all	0.0989592652	0.0647223689	18	13
late	anterior	all	0.1115353265	0.1530274564	15	12
late	posterior	all	0.0880267383	0.0741795392	11	10
