 	Label	X	Y	Slice
1	3D_eve-Gap1_t60s_z3_E3.tif:0074-0090-1539:73	449	28	69
2	3D_eve-Gap1_t60s_z3_E3.tif:0074-0090-1539:73	400	22	74
