 	Label	X	Y	Slice
1	3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83	27	84	56
2	3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83	530	83	56
3	3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83	486	38	62
4	3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83	313	23	84
