"embryo","label","dataset","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","microns_per_second","microns_per_minute"
"btd-gap2_z3_t55s_E7","3D_btd-gap2_z3_t55s_E7.tif:0047-0113-1382:46","3D_btd-gap2_z3_t55s_E7.tif",433,355,37,47,78,10,7.8,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,TRUE,0.141818181818182,8.50909090909091
"btd-gap2_z3_t55s_E8","3D_btd-gap2_z3_t55s_E8.tif:0064-0111-1382:63","3D_btd-gap2_z3_t55s_E8.tif",448,340,54,64,108,10,10.8,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,0.196363636363636,11.7818181818182
"btd-HisGap_z3_t51s_E11","3D_btd-HisGap_z3_t51s_E11.tif:0090-0078-1459:89","3D_btd-HisGap_z3_t51s_E11.tif",445,388,80,90,57,10,5.7,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,51,234,2,NA,2,TRUE,0.111764705882353,6.70588235294118
"btd-HisGap_z3_t51s_E14","3D_btd-HisGap_z3_t51s_E14.tif:0057-0082-1412:56","3D_btd-HisGap_z3_t51s_E14.tif",444,361,47,57,83,10,8.3,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,51,234,1,NA,1,FALSE,0.162745098039216,9.76470588235294
"btd-HisGap_z3_t51s_E4","3D_btd-HisGap_z3_t51s_E4.tif:0065-0121-1356:64","3D_btd-HisGap_z3_t51s_E4.tif",437,337,55,65,100,10,10,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,51,234,1,NA,1,FALSE,0.196078431372549,11.7647058823529
"btd-HisGap_z3_t51s_E7","3D_btd-HisGap_z3_t51s_E7.tif:0090-0107-1425:89","3D_btd-HisGap_z3_t51s_E7.tif",441,372,80,90,69,10,6.9,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,51,234,1,NA,1,FALSE,0.135294117647059,8.11764705882353
"btd-hisgap1_E7","3D_btd-hisgap1_E7.tif:0056-0117-1443:56","3D_btd-hisgap1_E7.tif",454,369,46,56,85,10,8.5,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,300,1,NA,1,FALSE,0.141666666666667,8.5
"btd-hisgap1_E8","3D_btd-hisgap1_E8.tif:0106-0106-1323:106","3D_btd-hisgap1_E8.tif",424,330,96,106,94,10,9.4,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,300,3,NA,3,TRUE,0.156666666666667,9.4
"eve-Gap_1_E13","3D_eve-Gap_1_E13.tif:0037-0075-1404:36","3D_eve-Gap_1_E13.tif",434,338,27,37,96,10,9.6,"2020-01-15_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2749087,0.2749087,3,NA,60,180,1,NA,1,TRUE,0.16,9.6
"eve-Gap_1_t45s_z3_E1","3D_eve-Gap_1_t45s_z3_E1.tif:0084-0097-1505:83","3D_eve-Gap_1_t45s_z3_E1.tif",452,378,74,84,74,10,7.4,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,0.164444444444444,9.86666666666667
"eve-Gap_1_t45s_z3_E11","3D_eve-Gap_1_t45s_z3_E11.tif:0080-0088-1520:79","3D_eve-Gap_1_t45s_z3_E11.tif",455,383,70,80,72,10,7.2,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,45,215,2,NA,2,TRUE,0.16,9.6
"eve-Gap_1_t45s_z3_E4","3D_eve-Gap_1_t45s_z3_E4.tif:0109-0088-1446:108","3D_eve-Gap_1_t45s_z3_E4.tif",436,361,99,109,75,10,7.5,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,0.166666666666667,10
"eve-Gap1_t60s_z3_E11","3D_eve-Gap1_t60s_z3_E11.tif:0054-0096-1390:53","3D_eve-Gap1_t60s_z3_E11.tif",434,332,44,54,102,10,10.2,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.17,10.2
"eve-Gap1_t60s_z3_E12","3D_eve-Gap1_t60s_z3_E12.tif:0032-0091-1436:31","3D_eve-Gap1_t60s_z3_E12.tif",438,354,22,32,84,10,8.4,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,0.14,8.4
"eve-Gap1_t60s_z3_E16","3D_eve-Gap1_t60s_z3_E16.tif:0068-0073-1354:67","3D_eve-Gap1_t60s_z3_E16.tif",433,314,58,68,119,10,11.9,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.198333333333333,11.9
"eve-Gap1_t60s_z3_E2","3D_eve-Gap1_t60s_z3_E2.tif:0033-0079-1504:32","3D_eve-Gap1_t60s_z3_E2.tif",458,372,23,33,86,10,8.6,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,0.143333333333333,8.6
"eve-Gap1_t60s_z3_E3","3D_eve-Gap1_t60s_z3_E3.tif:0079-0089-1466:78","3D_eve-Gap1_t60s_z3_E3.tif",448,360,69,79,88,10,8.8,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,0.146666666666667,8.8
"eve-Gap1_t60s_z3_E4","3D_eve-Gap1_t60s_z3_E4.tif:0045-0102-1380:44","3D_eve-Gap1_t60s_z3_E4.tif",435,326,35,45,109,10,10.9,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.181666666666667,10.9
"eve-Gap1_t60s_z3_E5","3D_eve-Gap1_t60s_z3_E5.tif:0085-0076-1284:84","3D_eve-Gap1_t60s_z3_E5.tif",413,295,75,85,118,10,11.8,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.196666666666667,11.8
"eve-Gap1_t60s_z3_E9","3D_eve-Gap1_t60s_z3_E9.tif:0039-0079-1420:38","3D_eve-Gap1_t60s_z3_E9.tif",438,345,29,39,93,10,9.3,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.155,9.3
"Gap,stg[2]_2_z3_t50s_E1","3D_Gap,stg[2]_2_z3_t50s_E1.tif:0032-0082-1321:31","3D_Gap,stg[2]_2_z3_t50s_E1.tif",431,323,22,32,108,10,10.8,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,2,NA,2,TRUE,0.216,12.96
