"embryo","label","dataset","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","time_md_start","gb_pct_md_start","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","microns_per_second","microns_per_minute"
"btd-gap2_z3_t55s_E8","3D_btd-gap2_z3_t55s_E8.tif:0064-0111-1382:63","3D_btd-gap2_z3_t55s_E8.tif",448,340,54,64,108,10,10.8,"3D_btd-gap2_z3_t55s_E8.tif:0066-0212-0967:65",478,37,515,468,325,431,288,9.8326359832636,39.7489539748954,43,51,66,7.33333333333333,21.0833333333333,"3D_btd-gap2_z3_t55s_E8.tif:0061-0098-1377:60",417,369,57,61,12.8333333333333,20.5020920502092,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,0.196363636363636,11.7818181818182
"btd-HisGap_z3_t51s_E11","3D_btd-HisGap_z3_t51s_E11.tif:0090-0078-1459:89","3D_btd-HisGap_z3_t51s_E11.tif",445,388,80,90,57,10,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,51,234,2,NA,2,TRUE,0.111764705882353,6.70588235294118
"btd-HisGap_z3_t51s_E14","3D_btd-HisGap_z3_t51s_E14.tif:0057-0082-1412:56","3D_btd-HisGap_z3_t51s_E14.tif",444,361,47,57,83,10,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,51,234,1,NA,1,FALSE,0.162745098039216,9.76470588235294
"btd-HisGap_z3_t51s_E4","3D_btd-HisGap_z3_t51s_E4.tif:0065-0121-1356:64","3D_btd-HisGap_z3_t51s_E4.tif",437,337,55,65,100,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,51,234,1,NA,1,FALSE,0.196078431372549,11.7647058823529
"btd-HisGap_z3_t51s_E7","3D_btd-HisGap_z3_t51s_E7.tif:0090-0107-1425:89","3D_btd-HisGap_z3_t51s_E7.tif",441,372,80,90,69,10,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-07-27_btd-HisGap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;His-GFP,Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,51,234,1,NA,1,FALSE,0.135294117647059,8.11764705882353
"btd-hisgap1_E7","3D_btd-hisgap1_E7.tif:0056-0117-1443:56","3D_btd-hisgap1_E7.tif",454,369,46,56,85,10,8.5,"3D_btd-hisgap1_E7.tif:0066-0221-0988:66",486,39,525,492,311,453,272,6.79012345679013,44.0329218106996,30,40,66,10,36,"3D_btd-hisgap1_E7.tif:0056-0107-1369:56",412,369,51,56,21,23.2510288065844,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,300,1,NA,1,FALSE,0.141666666666667,8.5
"btd-hisgap1_E8","3D_btd-hisgap1_E8.tif:0106-0106-1323:106","3D_btd-hisgap1_E8.tif",424,330,96,106,94,10,9.4,"3D_btd-hisgap1_E8.tif:0115-0209-0952:115",474,35,509,321,289,286,254,39.662447257384,46.4135021097046,80,107,115,27,35,"3D_btd-hisgap1_E8.tif:0105-0107-1256:105",378,339,100,105,20,27.6371308016878,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,300,3,NA,3,TRUE,0.156666666666667,9.4
"eve-Gap_1_E13","3D_eve-Gap_1_E13.tif:0037-0075-1404:36","3D_eve-Gap_1_E13.tif",434,338,27,37,96,10,9.6,"3D_eve-Gap_1_E13.tif:0042-0206-0963:41",521,4,525,351,313,347,309,33.3973128598848,40.6909788867562,13,35,42,22,29,"3D_eve-Gap_1_E13.tif:0033-0069-1408:32",408,366,29,33,16,22.4568138195777,"2020-01-15_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2749087,0.2749087,3,NA,60,180,1,NA,1,TRUE,0.16,9.6
"eve-Gap_1_t45s_z3_E1","3D_eve-Gap_1_t45s_z3_E1.tif:0084-0097-1505:83","3D_eve-Gap_1_t45s_z3_E1.tif",452,378,74,84,74,10,7.4,"3D_eve-Gap_1_t45s_z3_E1.tif:0086-0209-0971:85",514,11,525,488,365,477,354,7.19844357976653,31.1284046692607,50,68,86,13.5,27,"3D_eve-Gap_1_t45s_z3_E1.tif:0082-0094-1506:81",441,389,75,82,18.75,16.3424124513619,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,0.164444444444444,9.86666666666667
"eve-Gap_1_t45s_z3_E11","3D_eve-Gap_1_t45s_z3_E11.tif:0080-0088-1520:79","3D_eve-Gap_1_t45s_z3_E11.tif",455,383,70,80,72,10,7.2,"3D_eve-Gap_1_t45s_z3_E11.tif:0096-0203-0962:95",515,8,523,378,309,370,301,28.1553398058252,41.5533980582524,49,81,96,24,35.25,"3D_eve-Gap_1_t45s_z3_E11.tif:0079-0084-1478:78",429,387,74,79,18.75,18.252427184466,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,45,215,2,NA,2,TRUE,0.16,9.6
"eve-Gap_1_t45s_z3_E4","3D_eve-Gap_1_t45s_z3_E4.tif:0109-0088-1446:108","3D_eve-Gap_1_t45s_z3_E4.tif",436,361,99,109,75,10,7.5,"3D_eve-Gap_1_t45s_z3_E4.tif:0112-0193-0965:111",511,11,522,472,339,461,328,9.78473581213308,35.8121330724071,76,93,112,12.75,27,"3D_eve-Gap_1_t45s_z3_E4.tif:0107-0086-1452:106",422,379,101,107,18.75,19.5694716242661,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,0.166666666666667,10
"eve-Gap1_t60s_z3_E11","3D_eve-Gap1_t60s_z3_E11.tif:0054-0096-1390:53","3D_eve-Gap1_t60s_z3_E11.tif",434,332,44,54,102,10,10.2,"3D_eve-Gap1_t60s_z3_E11.tif:0051-0229-0963:50",504,14,518,495,356,481,342,4.56349206349206,32.1428571428571,26,36,51,10,25,"3D_eve-Gap1_t60s_z3_E11.tif:0048-0105-1526:47",447,394,43,48,17,14.0873015873016,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.17,10.2
"eve-Gap1_t60s_z3_E12","3D_eve-Gap1_t60s_z3_E12.tif:0032-0091-1436:31","3D_eve-Gap1_t60s_z3_E12.tif",438,354,22,32,84,10,8.4,"3D_eve-Gap1_t60s_z3_E12.tif:0039-0223-0960:38",527,1,528,402,318,401,317,23.9089184060721,39.8481973434535,7,26,39,19,32,"3D_eve-Gap1_t60s_z3_E12.tif:0029-0092-1441:28",418,377,24,29,17,20.8728652751423,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,0.14,8.4
"eve-Gap1_t60s_z3_E16","3D_eve-Gap1_t60s_z3_E16.tif:0068-0073-1354:67","3D_eve-Gap1_t60s_z3_E16.tif",433,314,58,68,119,10,11.9,"3D_eve-Gap1_t60s_z3_E16.tif:0070-0204-0986:69",504,20,524,478,302,458,282,9.12698412698413,44.047619047619,41,53,70,12,29,"3D_eve-Gap1_t60s_z3_E16.tif:0063-0077-1449:62",430,369,58,63,17,18.6507936507936,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.198333333333333,11.9
"eve-Gap1_t60s_z3_E2","3D_eve-Gap1_t60s_z3_E2.tif:0033-0079-1504:32","3D_eve-Gap1_t60s_z3_E2.tif",458,372,23,33,86,10,8.6,"3D_eve-Gap1_t60s_z3_E2.tif:0038-0197-0974:37",512,13,525,394,366,381,353,25.5859375,31.0546875,6,28,38,22,32,"3D_eve-Gap1_t60s_z3_E2.tif:0027-0073-1498:26",431,396,23,27,17,18.359375,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,0.143333333333333,8.6
"eve-Gap1_t60s_z3_E3","3D_eve-Gap1_t60s_z3_E3.tif:0079-0089-1466:78","3D_eve-Gap1_t60s_z3_E3.tif",448,360,69,79,88,10,8.8,"3D_eve-Gap1_t60s_z3_E3.tif:0087-0205-0978:86",517,11,528,366,341,355,330,31.3346228239845,36.1702127659574,53,79,87,26,34,"3D_eve-Gap1_t60s_z3_E3.tif:0074-0090-1539:73",449,400,69,74,16,15.2804642166344,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,0.146666666666667,8.8
"eve-Gap1_t60s_z3_E4","3D_eve-Gap1_t60s_z3_E4.tif:0045-0102-1380:44","3D_eve-Gap1_t60s_z3_E4.tif",435,326,35,45,109,10,10.9,"3D_eve-Gap1_t60s_z3_E4.tif:0046-0226-0976:45",518,10,528,475,318,465,308,10.2316602316602,40.5405405405405,16,31,46,15,30,"3D_eve-Gap1_t60s_z3_E4.tif:0040-0100-1446:39",418,380,36,40,20,21.2355212355212,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.181666666666667,10.9
"eve-Gap1_t60s_z3_E5","3D_eve-Gap1_t60s_z3_E5.tif:0085-0076-1284:84","3D_eve-Gap1_t60s_z3_E5.tif",413,295,75,85,118,10,11.8,"3D_eve-Gap1_t60s_z3_E5.tif:0082-0202-0977:81",486,26,512,457,329,431,303,11.3168724279835,37.6543209876543,60,71,82,11,22,"3D_eve-Gap1_t60s_z3_E5.tif:0081-0076-1346:80",400,342,76,81,16,23.0452674897119,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.196666666666667,11.8
"eve-Gap1_t60s_z3_E9","3D_eve-Gap1_t60s_z3_E9.tif:0039-0079-1420:38","3D_eve-Gap1_t60s_z3_E9.tif",438,345,29,39,93,10,9.3,"3D_eve-Gap1_t60s_z3_E9.tif:0041-0195-0967:40",499,17,516,468,326,451,309,9.61923847695391,38.0761523046092,14,25,41,11,27,"3D_eve-Gap1_t60s_z3_E9.tif:0038-0073-1334:37",385,351,34,38,20,26.25250501002,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,0.155,9.3
"Gap,stg[2]_2_z3_t50s_E1","3D_Gap,stg[2]_2_z3_t50s_E1.tif:0032-0082-1321:31","3D_Gap,stg[2]_2_z3_t50s_E1.tif",431,323,22,32,108,10,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,2,NA,2,TRUE,0.216,12.96
"Gap,stg[2]_2_z3_t50s_E10","3D_Gap,stg[2]_2_z3_t50s_E10.tif:0089-0121-1357:88","3D_Gap,stg[2]_2_z3_t50s_E10.tif",433,341,79,89,92,10,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.184,11.04
"Gap,stg[2]_2_z3_t50s_E11","3D_Gap,stg[2]_2_z3_t50s_E11.tif:0065-0096-1402:64","3D_Gap,stg[2]_2_z3_t50s_E11.tif",441,359,55,65,82,10,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.164,9.84
"Gap,stg[2]_2_z3_t50s_E12","3D_Gap,stg[2]_2_z3_t50s_E12.tif:0066-0197-1332:65","3D_Gap,stg[2]_2_z3_t50s_E12.tif",428,332,56,66,96,10,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.192,11.52
"Gap,stg[2]_2_z3_t50s_E13","3D_Gap,stg[2]_2_z3_t50s_E13.tif:0064-0142-1329:63","3D_Gap,stg[2]_2_z3_t50s_E13.tif",425,333,54,64,92,10,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,2,NA,2,TRUE,0.184,11.04
"Gap,stg[2]_2_z3_t50s_E14","3D_Gap,stg[2]_2_z3_t50s_E14.tif:0011-0131-1282:10","3D_Gap,stg[2]_2_z3_t50s_E14.tif",416,316,1,11,100,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.2,12
"Gap,stg[2]_2_z3_t50s_E15","3D_Gap,stg[2]_2_z3_t50s_E15.tif:0032-0201-1340:31","3D_Gap,stg[2]_2_z3_t50s_E15.tif",428,337,22,32,91,10,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.182,10.92
"Gap,stg[2]_2_z3_t50s_E2","3D_Gap,stg[2]_2_z3_t50s_E2.tif:0039-0096-1366:38","3D_Gap,stg[2]_2_z3_t50s_E2.tif",439,340,29,39,99,10,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,2,NA,2,TRUE,0.198,11.88
"Gap,stg[2]_2_z3_t50s_E3","3D_Gap,stg[2]_2_z3_t50s_E3.tif:0073-0106-1383:72","3D_Gap,stg[2]_2_z3_t50s_E3.tif",446,343,63,73,103,10,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.206,12.36
"Gap,stg[2]_2_z3_t50s_E4","3D_Gap,stg[2]_2_z3_t50s_E4.tif:0065-0102-1326:64","3D_Gap,stg[2]_2_z3_t50s_E4.tif",426,330,55,65,96,10,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.192,11.52
"Gap,stg[2]_2_z3_t50s_E7","3D_Gap,stg[2]_2_z3_t50s_E7.tif:0070-0145-1283:69","3D_Gap,stg[2]_2_z3_t50s_E7.tif",410,321,60,70,89,10,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,2,NA,2,TRUE,0.178,10.68
"Gap,stg[2]_2_z3_t50s_E8","3D_Gap,stg[2]_2_z3_t50s_E8.tif:0063-0201-1363:62","3D_Gap,stg[2]_2_z3_t50s_E8.tif",434,344,53,63,90,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","heterozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.18,10.8
"Gap,stg[2]_2_z3_t50s_E9","3D_Gap,stg[2]_2_z3_t50s_E9.tif:0052-0088-1355:51","3D_Gap,stg[2]_2_z3_t50s_E9.tif",437,337,42,52,100,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3","homozygote","lateral",0.2853696,0.2853696,3,NA,50,270,1,NA,1,FALSE,0.2,12
"Gap,stg[2]_green_1_z3_t52_E1","3D_Gap,stg[2]_green_1_z3_t52_E1.tif:0078-0085-1300:77","3D_Gap,stg[2]_green_1_z3_t52_E1.tif",424,318,68,78,106,10,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.203846153846154,12.2307692307692
"Gap,stg[2]_green_1_z3_t52_E10","3D_Gap,stg[2]_green_1_z3_t52_E10.tif:0067-0108-1357:66","3D_Gap,stg[2]_green_1_z3_t52_E10.tif",443,331,57,67,112,10,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.215384615384615,12.9230769230769
"Gap,stg[2]_green_1_z3_t52_E11","3D_Gap,stg[2]_green_1_z3_t52_E11.tif:0071-0097-1288:70","3D_Gap,stg[2]_green_1_z3_t52_E11.tif",424,311,61,71,113,10,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,2,NA,2,TRUE,0.217307692307692,13.0384615384615
"Gap,stg[2]_green_1_z3_t52_E12","3D_Gap,stg[2]_green_1_z3_t52_E12.tif:0049-0088-1314:48","3D_Gap,stg[2]_green_1_z3_t52_E12.tif",431,319,39,49,112,10,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.215384615384615,12.9230769230769
"Gap,stg[2]_green_1_z3_t52_E13","3D_Gap,stg[2]_green_1_z3_t52_E13.tif:0031-0097-1273:30","3D_Gap,stg[2]_green_1_z3_t52_E13.tif",417,309,21,31,108,10,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.207692307692308,12.4615384615385
"Gap,stg[2]_green_1_z3_t52_E14","3D_Gap,stg[2]_green_1_z3_t52_E14.tif:0076-0094-1296:75","3D_Gap,stg[2]_green_1_z3_t52_E14.tif",418,321,66,76,97,10,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","homozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.186538461538462,11.1923076923077
"Gap,stg[2]_green_1_z3_t52_E15","3D_Gap,stg[2]_green_1_z3_t52_E15.tif:0070-0087-1328:69","3D_Gap,stg[2]_green_1_z3_t52_E15.tif",433,324,60,70,109,10,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.209615384615385,12.5769230769231
"Gap,stg[2]_green_1_z3_t52_E16","3D_Gap,stg[2]_green_1_z3_t52_E16.tif:0067-0111-1344:66","3D_Gap,stg[2]_green_1_z3_t52_E16.tif",439,328,57,67,111,10,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","homozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.213461538461538,12.8076923076923
"Gap,stg[2]_green_1_z3_t52_E2","3D_Gap,stg[2]_green_1_z3_t52_E2.tif:0067-0089-1283:66","3D_Gap,stg[2]_green_1_z3_t52_E2.tif",428,304,57,67,124,10,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.238461538461538,14.3076923076923
"Gap,stg[2]_green_1_z3_t52_E3","3D_Gap,stg[2]_green_1_z3_t52_E3.tif:0071-0101-1336:70","3D_Gap,stg[2]_green_1_z3_t52_E3.tif",440,322,61,71,118,10,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.226923076923077,13.6153846153846
"Gap,stg[2]_green_1_z3_t52_E4","3D_Gap,stg[2]_green_1_z3_t52_E4.tif:0038-0098-1314:37","3D_Gap,stg[2]_green_1_z3_t52_E4.tif",437,313,28,38,124,10,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.238461538461538,14.3076923076923
"Gap,stg[2]_green_1_z3_t52_E5","3D_Gap,stg[2]_green_1_z3_t52_E5.tif:0072-0089-1303:71","3D_Gap,stg[2]_green_1_z3_t52_E5.tif",427,316,62,72,111,10,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.213461538461538,12.8076923076923
"Gap,stg[2]_green_1_z3_t52_E6","3D_Gap,stg[2]_green_1_z3_t52_E6.tif:0058-0116-1300:57","3D_Gap,stg[2]_green_1_z3_t52_E6.tif",430,311,48,58,119,10,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,2,NA,2,TRUE,0.228846153846154,13.7307692307692
"Gap,stg[2]_green_1_z3_t52_E7","3D_Gap,stg[2]_green_1_z3_t52_E7.tif:0064-0100-1313:63","3D_Gap,stg[2]_green_1_z3_t52_E7.tif",430,319,54,64,111,10,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-25_Gap,stg[2]","bruno","stg","Gap43-mCherry,stg[2]/TM3,Kr-GFP","heterozygote","lateral",0.2853696,0.2853696,3,NA,52,180,1,NA,1,FALSE,0.213461538461538,12.8076923076923
