"embryo","stock","zygosity","microns_per_minute","gb_pct_tf_buck","gb_pct_md_start","time_tf_buck","time_md_start"
"Gap,stg[2]_2_z3_t50s_E11","stg","homozygote",9.84,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E12","stg","homozygote",11.52,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E13","stg","heterozygote",11.04,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E14","stg","heterozygote",12,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E15","stg","heterozygote",10.92,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E2","stg","homozygote",11.88,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E3","stg","homozygote",12.36,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E4","stg","heterozygote",11.52,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E7","stg","heterozygote",10.68,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E8","stg","heterozygote",10.8,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E9","stg","homozygote",12,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E1","stg","heterozygote",12.2307692307692,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E10","stg","heterozygote",12.9230769230769,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E11","stg","heterozygote",13.0384615384615,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E12","stg","heterozygote",12.9230769230769,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E13","stg","heterozygote",12.4615384615385,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E14","stg","homozygote",11.1923076923077,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E15","stg","heterozygote",12.5769230769231,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E16","stg","homozygote",12.8076923076923,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E2","stg","heterozygote",14.3076923076923,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E3","stg","heterozygote",13.6153846153846,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E4","stg","heterozygote",14.3076923076923,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E5","stg","heterozygote",12.8076923076923,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E6","stg","heterozygote",13.7307692307692,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E7","stg","heterozygote",12.8076923076923,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E8","stg","heterozygote",12.2307692307692,NA,NA,NA,NA
"Gap,stg[2]_green_1_z3_t52_E9","stg","heterozygote",12.3461538461538,NA,NA,NA,NA
"btd-gap-stg_1_z3_t45s_E12","btd-stg","btd homozygote",10.1333333333333,NA,NA,NA,NA
"btd-gap-stg_1_z3_t45s_E3","btd-stg","btd homozygote",11.8666666666667,NA,NA,NA,NA
"btd-gap-stg_1_z3_t45s_E8","btd-stg","double heterozygote",11.7333333333333,NA,NA,NA,NA
"btd-gap-stg_1_z3_t45s_E9","btd-stg","double homozygote",5.86666666666667,NA,NA,NA,NA
"btd-gap-stg_3_z3_t53s_E11","btd-stg","btd homozygote",8.15094339622642,NA,NA,NA,NA
"btd-gap-stg_3_z3_t53s_E12","btd-stg","double heterozygote",12.9056603773585,NA,NA,NA,NA
"btd-gap-stg_3_z3_t53s_E13","btd-stg","double heterozygote",12.6792452830189,NA,NA,NA,NA
"btd-gap-stg_3_z3_t53s_E14","btd-stg","double heterozygote",11.6603773584906,NA,NA,NA,NA
"btd-gap-stg_3_z3_t53s_E2","btd-stg","btd homozygote",5.54716981132075,NA,NA,NA,NA
"btd-gap-stg_3_z3_t53s_E3","btd-stg","double heterozygote",12,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E1","btd-stg","double heterozygote",11.4915254237288,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E10","btd-stg","btd homozygote",9.5593220338983,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E11","btd-stg","double heterozygote",9.96610169491525,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E13","btd-stg","double heterozygote",7.22033898305085,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E14","btd-stg","double heterozygote",10.4745762711864,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E16","btd-stg","double heterozygote",9.96610169491525,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E3","btd-stg","double heterozygote",10.7796610169492,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E4","btd-stg","double heterozygote",8.74576271186441,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E6","btd-stg","double heterozygote",11.3898305084746,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E7","btd-stg","btd homozygote",11.5932203389831,NA,NA,NA,NA
"btd-gap-stg_4_z3_t59s_E8","btd-stg","btd homozygote",10.8813559322034,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E1","btd-stg","double homozygote",10.5,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E16","btd-stg","btd homozygote",12.1,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E17","btd-stg","double heterozygote",11.7,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E18","btd-stg","btd homozygote",10.7,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E19","btd-stg","double heterozygote",13.6,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E2","btd-stg","double heterozygote",12.4,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E20","btd-stg","btd homozygote",10.6,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E3","btd-stg","double homozygote",12.8,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E5","btd-stg","double heterozygote",14,NA,NA,NA,NA
"btd-gap-stg_7_z3_60s_E6","btd-stg","btd homozygote",10,NA,NA,NA,NA
"btd-gap-stg_8_z3_45s_E3","btd-stg","btd homozygote",8.4,NA,NA,NA,NA
"btd-gap-stg_8_z3_45s_E8","btd-stg","stg homozygote",5.6,NA,NA,NA,NA
