"label","dataset","embryo","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame"
"3D_btd-gap-stg_7_z3_60s_E19.tif:0013-0109-1272:12","3D_btd-gap-stg_7_z3_60s_E19.tif","btd-gap-stg_7_z3_60s_E19","431","295","3","13","136","10","13.6"
"3D_btd-gap-stg_7_z3_60s_E2.tif:0031-0132-1296:30","3D_btd-gap-stg_7_z3_60s_E2.tif","btd-gap-stg_7_z3_60s_E2","432","308","21","31","124","10","12.4"
"3D_btd-gap-stg_7_z3_60s_E20.tif:0057-0112-1392:56","3D_btd-gap-stg_7_z3_60s_E20.tif","btd-gap-stg_7_z3_60s_E20","450","344","47","57","106","10","10.6"
"3D_btd-gap-stg_7_z3_60s_E3.tif:0051-0123-1335:50","3D_btd-gap-stg_7_z3_60s_E3.tif","btd-gap-stg_7_z3_60s_E3","445","317","41","51","128","10","12.8"
"3D_btd-gap-stg_7_z3_60s_E5.tif:0025-0160-1301:24","3D_btd-gap-stg_7_z3_60s_E5.tif","btd-gap-stg_7_z3_60s_E5","441","301","15","25","140","10","14"
"3D_btd-gap-stg_7_z3_60s_E6.tif:0044-0197-1349:43","3D_btd-gap-stg_7_z3_60s_E6.tif","btd-gap-stg_7_z3_60s_E6","435","335","34","44","100","10","10"
"3D_btd-gap-stg_8_z3_45s_E3.tif:0047-0099-1445:46","3D_btd-gap-stg_8_z3_45s_E3.tif","btd-gap-stg_8_z3_45s_E3","444","381","37","47","63","10","6.3"
"3D_btd-gap-stg_8_z3_45s_E8.tif:0011-0207-1451:10","3D_btd-gap-stg_8_z3_45s_E8.tif","btd-gap-stg_8_z3_45s_E8","435","393","1","11","42","10","4.2"
"3D_btd-gap2_z3_t55s_E12.tif:0068-0112-1462:67","3D_btd-gap2_z3_t55s_E12.tif","btd-gap2_z3_t55s_E12","459","375","58","68","84","10","8.4"
"3D_btd-gap2_z3_t55s_E14.tif:0053-0068-1408:52","3D_btd-gap2_z3_t55s_E14.tif","btd-gap2_z3_t55s_E14","439","364","43","53","75","10","7.5"
"3D_btd-gap2_z3_t55s_E7.tif:0047-0113-1382:46","3D_btd-gap2_z3_t55s_E7.tif","btd-gap2_z3_t55s_E7","433","355","37","47","78","10","7.8"
"3D_btd-gap2_z3_t55s_E8.tif:0064-0111-1382:63","3D_btd-gap2_z3_t55s_E8.tif","btd-gap2_z3_t55s_E8","448","340","54","64","108","10","10.8"
"3D_btd-HisGap_z3_t51s_E11.tif:0090-0078-1459:89","3D_btd-HisGap_z3_t51s_E11.tif","btd-HisGap_z3_t51s_E11","445","388","80","90","57","10","5.7"
