experiment,dataset,microscope,comment
III-ECF Flp-out progeny (heterozygote),2024-08-08_L2_III-ECF_H200_t3min_1_Pos20,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos1,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos2,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos3,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos4,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos5,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos6,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos7,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos8,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos9,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos10,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos11,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos12,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos13,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos14,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos15,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos16,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos17,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos18,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos19,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos20,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos21,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos22,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos23,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos24,L2,
III-ECF Flp-out progeny (homozygote),2024-08-26_L2_III-ECF_homozygotes_t3min_1_Pos25,L2,
