 	Label	X	Y	Slice
1	3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69	38	87	44
2	3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69	529	88	44
3	3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69	483	39	50
4	3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69	323	21	70
