 	Label	X	Y	Slice
1	3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75	35	102	48
2	3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75	517	98	48
3	3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75	341	33	69
4	3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75	320	31	76
