"embryo","stock","zygosity","size","status","gb_pct","time"
"btd-gap_z3_t55s_E14","btd","homozygote",476,"md_start",27.9411764705882,14.6666666666667
"btd-gap_z3_t55s_E6","btd","homozygote",464,"md_start",29.9568965517241,13.75
"btd-gap_z3_t55s_E8","btd","homozygote",507,"md_start",30.3747534516765,22
"btd-gap2_z3_t55s_E7","btd","homozygote",499,"md_start",24.4488977955912,14.6666666666667
"btd-hisgap1_E8","btd","homozygote",474,"md_start",27.6371308016878,20
"btd-gap_z3_t55s_E14","btd","homozygote",476,"md_split",35.0840336134454,18.3333333333333
"btd-gap_z3_t55s_E6","btd","homozygote",464,"md_split",37.5,17.4166666666667
"btd-gap_z3_t55s_E8","btd","homozygote",507,"md_split",38.0670611439842,25.6666666666667
"btd-gap2_z3_t55s_E7","btd","homozygote",499,"md_split",31.062124248497,18.3333333333333
"btd-hisgap1_E8","btd","homozygote",474,"md_split",35.8649789029536,25
"eve-Gap_1_t45s_z3_E1","eve","heterozygote",514,"tf_buck",7.19844357976653,13.5
"eve-Gap_1_t45s_z3_E4","eve","heterozygote",511,"tf_buck",9.78473581213308,12.75
"eve-Gap1_t60s_z3_E11","eve","heterozygote",504,"tf_buck",4.56349206349206,10
"eve-Gap1_t60s_z3_E16","eve","heterozygote",504,"tf_buck",9.12698412698413,12
"eve-Gap1_t60s_z3_E4","eve","heterozygote",518,"tf_buck",10.2316602316602,15
"eve-Gap1_t60s_z3_E5","eve","heterozygote",486,"tf_buck",11.3168724279835,11
"eve-Gap1_t60s_z3_E9","eve","heterozygote",499,"tf_buck",9.61923847695391,11
"eve-Gap_1_t45s_z3_E1","eve","heterozygote",514,"md_start",16.3424124513619,18.75
"eve-Gap_1_t45s_z3_E4","eve","heterozygote",511,"md_start",19.5694716242661,18.75
"eve-Gap1_t60s_z3_E11","eve","heterozygote",504,"md_start",14.0873015873016,17
"eve-Gap1_t60s_z3_E16","eve","heterozygote",504,"md_start",18.6507936507936,17
"eve-Gap1_t60s_z3_E4","eve","heterozygote",518,"md_start",21.2355212355212,20
"eve-Gap1_t60s_z3_E5","eve","heterozygote",486,"md_start",23.0452674897119,16
"eve-Gap1_t60s_z3_E9","eve","heterozygote",499,"md_start",26.25250501002,20
"eve-Gap_1_t45s_z3_E1","eve","heterozygote",514,"md_split",26.4591439688716,24
"eve-Gap_1_t45s_z3_E4","eve","heterozygote",511,"md_split",27.9843444227006,23.25
"eve-Gap1_t60s_z3_E11","eve","heterozygote",504,"md_split",24.6031746031746,22
"eve-Gap1_t60s_z3_E16","eve","heterozygote",504,"md_split",30.7539682539683,22
"eve-Gap1_t60s_z3_E4","eve","heterozygote",518,"md_split",28.5714285714286,24
"eve-Gap1_t60s_z3_E5","eve","heterozygote",486,"md_split",34.9794238683128,21
"eve-Gap1_t60s_z3_E9","eve","heterozygote",499,"md_split",33.0661322645291,24
"eve-Gap_1_E13","eve","homozygote",521,"tf_buck",33.3973128598848,22
"eve-Gap_1_t45s_z3_E11","eve","homozygote",515,"tf_buck",28.1553398058252,24
"eve-Gap1_t60s_z3_E12","eve","homozygote",527,"tf_buck",23.9089184060721,19
"eve-Gap1_t60s_z3_E2","eve","homozygote",512,"tf_buck",25.5859375,22
"eve-Gap1_t60s_z3_E3","eve","homozygote",517,"tf_buck",31.3346228239845,26
"eve-Gap_1_E13","eve","homozygote",521,"md_start",22.4568138195777,16
"eve-Gap_1_t45s_z3_E11","eve","homozygote",515,"md_start",18.252427184466,18.75
"eve-Gap1_t60s_z3_E12","eve","homozygote",527,"md_start",20.8728652751423,17
"eve-Gap1_t60s_z3_E2","eve","homozygote",512,"md_start",18.359375,17
"eve-Gap1_t60s_z3_E3","eve","homozygote",517,"md_start",15.2804642166344,16
"eve-Gap_1_E13","eve","homozygote",521,"md_split",30.5182341650672,20
"eve-Gap_1_t45s_z3_E11","eve","homozygote",515,"md_split",26.4077669902913,22.5
"eve-Gap1_t60s_z3_E12","eve","homozygote",527,"md_split",28.6527514231499,22
"eve-Gap1_t60s_z3_E2","eve","homozygote",512,"md_split",25.1953125,21
"eve-Gap1_t60s_z3_E3","eve","homozygote",517,"md_split",24.7582205029014,21
"prd-Gap_1_t60s_E1","prd","heterozygote",504,"tf_buck",6.54761904761905,6
"prd-Gap_1_t60s_E11","prd","heterozygote",493,"tf_buck",32.2515212981745,18
"prd-Gap_1_t60s_E13","prd","heterozygote",523,"tf_buck",39.7705544933078,21
"prd-Gap_1_t60s_E15","prd","heterozygote",462,"tf_buck",11.9047619047619,8
"prd-Gap_1_t60s_E2","prd","heterozygote",489,"tf_buck",27.8118609406953,19
