,Time,Angle,Tortuosity,Angle Diference
0,0,82.22062194550874,1.038189611003173,0.0
1,1,80.29797150547435,1.052121838691787,-1.9226504400343885
2,2,80.2775970511802,1.050355030711985,-1.9430248943285449
3,3,76.89627775161954,1.065037837120961,-5.324344193889203
4,4,75.46484085631411,1.070266817734718,-6.7557810891946275
5,5,74.9065548539356,1.071482927964491,-7.314067091573136
6,6,73.49651011111067,1.073315754089777,-8.724111834398073
7,7,73.30064077628221,1.077326966054091,-8.919981169226531
8,8,71.0531943506462,1.079159345712747,-11.167427594862545
9,9,70.19872402509927,1.080192614926126,-12.021897920409472
10,10,68.71778191868958,1.080996687142582,-13.502840026819158
11,11,67.03222783531383,1.081005719018781,-15.188394110194906
12,12,66.00466685582045,1.080562404761162,-16.215955089688293
13,13,66.06495693562414,1.080358622582714,-16.1556650098846
14,14,64.64474887131422,1.085333678130702,-17.57587307419452
15,15,64.21034200991224,1.092442388142574,-18.0102799355965
16,16,61.72696718996565,1.088550406541052,-20.49365475554309
17,17,60.66363650978889,1.077349536334733,-21.556985435719852
18,18,59.2199394249233,1.078910623087072,-23.000682520585443
19,19,58.08362817346495,1.083101094850747,-24.136993772043787
20,20,57.12707042548843,1.073372455469701,-25.093551520020313
21,21,57.04952387274668,1.070220030763858,-25.171098072762057
22,22,56.48527170012817,1.068943078468462,-25.735350245380566
23,23,57.486362281493186,1.072886824531696,-24.734259664015553
