,Time,Angle,Tortuosity,Angle Diference
0,0,85.26353952264112,1.029029833230288,0.0
1,1,82.7283508876508,1.046385386179225,-2.5351886349903197
2,2,77.45181118776252,1.06667058191693,-7.811728334878609
3,3,76.85819261680754,1.068140160940379,-8.405346905833582
4,4,74.29051277193548,1.073984085899107,-10.973026750705642
5,5,72.01827275961232,1.078020137073502,-13.245266763028809
6,6,70.72521549689135,1.078234899952625,-14.538324025749773
7,7,69.39423702389848,1.08003027979934,-15.869302498742641
8,8,68.28865479351603,1.080709694666532,-16.974884729125094
9,9,66.25213826982835,1.080686717387507,-19.011401252812774
10,10,65.83061314520101,1.080013883988028,-19.43292637744011
11,11,64.48514784097854,1.082711019736392,-20.778391681662583
12,12,62.85923496943534,1.086919753863607,-22.404304553205783
13,13,60.72758074079855,1.085211648383435,-24.535958781842574
14,14,60.20123270297903,1.09110481651764,-25.062306819662098
15,15,60.22638145950302,1.083707882550316,-25.037158063138108
16,16,59.10320466181861,1.081662188849329,-26.160334860822516
17,17,58.067850436482225,1.088458301222017,-27.1956890861589
18,18,57.694512296449325,1.083041677101471,-27.5690272261918
