,Time,Angle,Tortuosity,Angle Diference
0,0,82.82932840434027,1.050318034369398,0.0
1,1,83.4151947105873,1.036377981753553,0.5858663062470271
2,2,83.25002707607804,1.03850342938242,0.4206986717377674
3,3,83.47225411091358,1.032722399999463,0.6429257065733083
4,4,84.71718586074263,1.046270811599692,1.887857456402358
5,5,82.43802003660107,1.047136630121495,-0.3913083677391995
6,6,81.81466965218904,1.057935020125582,-1.0146587521512345
7,7,80.67287375882718,1.058550911393519,-2.1564546455130937
8,8,79.39440578017336,1.063624488754812,-3.4349226241669157
9,9,75.89784069874707,1.071160108881371,-6.931487705593199
10,10,74.66357087421241,1.074764241655227,-8.165757530127863
11,11,73.04752762601989,1.078780412189819,-9.781800778320388
12,12,71.56182487775871,1.079366690709632,-11.267503526581564
13,13,70.725843874295,1.079973813359892,-12.103484530045279
14,14,69.47563921842669,1.080910998305942,-13.35368918591358
15,15,68.97913227709095,1.080605213377348,-13.850196127249319
16,16,67.44286563840417,1.080495160709095,-15.386462765936102
17,17,66.65352116659331,1.079505380119091,-16.175807237746966
18,18,65.269936576613,1.077655378793349,-17.559391827727268
19,19,63.67687691497756,1.0772409915462031,-19.15245148936271
20,20,62.36171032991327,1.073471809097697,-20.467618074427
21,21,61.644895636898774,1.08667886115225,-21.1844327674415
22,22,61.19908235958287,1.098954985870354,-21.630246044757406
23,23,61.91027580691045,1.090609990904786,-20.919052597429825
24,24,61.00146449632689,1.1059492622344,-21.827863908013384
25,25,59.59146756482614,1.111655421183,-23.237860839514134
26,26,60.27480067052923,1.098520452071155,-22.554527733811042
27,27,61.0204592524087,1.095070533106306,-21.808869151931574
28,28,60.80169512348236,1.097977671076593,-22.027633280857913
29,29,61.64143273098958,1.098984099725542,-21.187895673350695
30,30,62.567995703225996,1.08923700629458,-20.261332701114277
31,31,61.87032603045504,1.109294832776968,-20.959002373885234
32,32,62.45920445012603,1.1086500969633,-20.370123954214243
33,33,62.76135152843989,1.117799570673755,-20.067976875900385
34,34,63.71700427635139,1.115563923576889,-19.112324127988884
