,Time,Angle,Tortuosity,Angle Diference
0,0,81.9100669043266,1.046303986256581,0.0
1,1,82.30031659274445,1.047829419723992,0.39024968841785324
2,2,81.23027183661358,1.052278962350863,-0.679795067713016
3,3,80.96103260972085,1.053713382929157,-0.9490342946057524
4,4,78.7028422965204,1.064567152263755,-3.2072246078061966
5,5,74.55192460203938,1.072092878735146,-7.35814230228722
6,6,72.81967251530826,1.075853729019326,-9.090394389018343
7,7,72.13451574909676,1.077338392245103,-9.775551155229834
8,8,72.04780649758345,1.078062740676852,-9.862260406743147
9,9,71.0340151794568,1.07939908590472,-10.876051724869797
10,10,67.96601031750296,1.084709807584083,-13.944056586823635
11,11,66.136783204936,1.080473870931137,-15.773283699390603
12,12,62.74774579161322,1.082572276697666,-19.16232111271338
13,13,60.13476130197646,1.081380289256496,-21.775305602350137
14,14,59.44620310155831,1.094530340831049,-22.463863802768287
15,15,59.05292080914897,1.093632007872552,-22.857146095177626
16,16,59.23850387908739,1.090301992980074,-22.67156302523921
17,17,60.81704938873655,1.092248545276265,-21.09301751559005
18,18,60.84509414546862,1.093488530195539,-21.064972758857976
19,19,61.04182408413249,1.085042367518244,-20.868242820194105
20,20,61.0962606918175,1.071149662767703,-20.8138062125091
21,21,62.15864880588879,1.073674089909726,-19.75141809843781
22,22,61.015213667126126,1.075273426347942,-20.894853237200472
23,23,61.70573213183608,1.077935250979744,-20.20433477249052
24,24,62.09052449910708,1.07825105500287,-19.819542405219515
25,25,62.68286582468727,1.080049533397373,-19.22720107963933
26,26,63.41640765097913,1.079735257449626,-18.493659253347467
27,27,63.709415936183504,1.080119553394442,-18.200650968143094
28,28,62.78811903979717,1.078810456797057,-19.12194786452943
29,29,63.670333593752694,1.079409086424597,-18.239733310573904
30,30,64.48313976536255,1.080137787713324,-17.426927138964047
31,31,64.37814609744112,1.080060321317875,-17.53192080688548
32,32,63.6538864982313,1.079747225192289,-18.256180406095297
33,33,62.89471097198439,1.077434524326367,-19.01535593234221
