,Time,Angle,Tortuosity,Angle Diference
0,0,59.364493548517444,1.071753675484362,0.0
1,1,60.93189218944114,1.073715107133956,1.5673986409236988
2,2,60.033210049396715,1.066329644950715,0.6687165008792704
3,3,56.21536994488595,1.054475932932887,-3.1491236036314945
4,4,54.957856986605734,1.055498211289905,-4.406636561911711
5,5,53.719075822124275,1.049456100267647,-5.64541772639317
6,6,52.01104017109543,1.051114544646657,-7.353453377422014
7,7,52.48185535586816,1.045230280033758,-6.8826381926492815
8,8,51.868275557063825,1.063306673796074,-7.496217991453619
9,9,52.86721462884029,1.061051400616556,-6.497278919677157
10,10,52.60007568511733,1.069384283512554,-6.764417863400112
11,11,51.97822452722811,1.064916562463869,-7.386269021289337
12,12,51.97237447020399,1.04283772784561,-7.392119078313456
13,13,52.795986001080806,1.06014822229255,-6.568507547436639
14,14,52.67686750195578,1.05985914749875,-6.687626046561661
15,15,52.2099352797262,1.047853353593575,-7.1545582687912415
16,16,54.07766416864453,1.052087573208747,-5.286829379872913
17,17,53.25055558091267,1.058551031710166,-6.113937967604777
18,18,53.40564527130156,1.062598311311593,-5.9588482772158855
19,19,53.17321393384603,1.059771399980604,-6.191279614671416
20,20,53.042914415049694,1.0674478326362191,-6.3215791334677505
21,21,53.03475233899153,1.071650166461147,-6.329741209525913
22,22,54.844349487883875,1.078480113070241,-4.520144060633569
23,23,54.910120794496514,1.064724495130214,-4.45437275402093
24,24,54.63425286901428,1.073032510747953,-4.7302406795031615
25,25,52.82504845599921,1.059032202006218,-6.5394450925182355
26,26,52.410858954540466,1.0488057029532,-6.953634593976979
27,27,53.01679918675815,1.053147310706029,-6.347694361759295
28,28,52.346665421626106,1.0545833660243331,-7.017828126891338
29,29,51.85030874445211,1.038402122556696,-7.514184804065337
30,30,53.4860400129272,1.04523689195367,-5.878453535590246
31,31,53.73216246457402,1.060188732518942,-5.632331083943427
32,32,53.230020617173025,1.081030612379315,-6.134472931344419
33,33,51.208270962470905,1.048634403918247,-8.156222586046539
34,34,50.5465110092613,1.06549078273946,-8.817982539256143
35,35,53.70038842455512,1.104781617716305,-5.664105123962322
