,Time,Angle,Tortuosity,Angle Diference
0,0,70.1933418360333,1.074724966257132,0.0
1,0,76.71547581410013,1.091807689713042,6.522133978066833
2,1,82.64890212722523,1.102464950307746,12.45556029119193
3,1,73.85579172183168,1.101542829807664,3.662449885798381
4,2,77.26297011759002,1.079648351031611,7.069628281556717
5,2,74.40692651614918,1.078701551307565,4.213584680115886
6,3,67.42283269356852,1.079120019544731,-2.7705091424647748
7,3,72.97578331897806,1.073824074353965,2.782441482944762
8,4,64.94613096844104,1.076999520645615,-5.247210867592258
9,4,71.33839572962926,1.0797403295044101,1.145053893595957
10,5,59.73643149977049,1.0665245711167821,-10.456910336262808
11,5,72.05924706444323,1.081371448675298,1.865905228409929
12,6,59.86154690498678,1.066777123675704,-10.331794931046517
13,6,69.5876543208149,1.082418466806395,-0.605687515218392
14,7,59.630385982716874,1.067193749638945,-10.562955853316424
15,7,66.37073767457645,1.095061352895726,-3.8226041614568516
16,8,60.1225899048755,1.066382065739412,-10.070751931157801
17,8,65.04794859839842,1.117671991580032,-5.145393237634877
18,9,62.573159326238525,1.103809282230222,-7.620182509794773
19,9,59.79281471136895,1.066036436452164,-10.40052712466435
20,10,61.614275898849606,1.117773534828234,-8.579065937183692
21,10,63.9396001414021,1.075709749028724,-6.253741694631195
22,11,61.68379356422199,1.126420796119777,-8.509548271811305
23,11,63.34900734424944,1.073377278614852,-6.8443344917838544
24,12,62.45640407256633,1.102883457712227,-7.736937763466969
25,13,63.43649523732814,1.096107206010243,-6.75684659870516
26,14,62.889677122566084,1.097713230202976,-7.303664713467214
27,15,63.61966725048954,1.094813475634402,-6.573674585543756
28,16,71.22380564592395,1.077691482583456,1.030463809890648
29,17,65.21508332738863,1.073588866234651,-4.978258508644672
