Unnamed: 0,Type,Sample,Fold,Time [min],Angle [degrees],Solidity,Angle Corr
115,Btd,2,4,10,-26.20577429309948,0.5676546391752577,63.79422570690052
116,Btd,2,4,10,-28.18554824932057,0.2076170009551098,61.81445175067943
117,Btd,2,4,11,-26.82327486051413,0.548540393754243,63.17672513948587
118,Btd,2,4,11,-28.029876620229174,0.2093113231880319,61.970123379770826
119,Btd,2,4,12,-27.810634623587056,0.2200504413619167,62.189365376412944
120,Btd,2,4,13,-26.949496342263583,0.225888756591257,63.050503657736414
121,Btd,2,4,14,-27.47042335584708,0.2369556688897607,62.529576644152925
122,Btd,2,4,15,-26.772381288723583,0.2549201203982403,63.22761871127642
123,Btd,2,4,16,-19.313598161209576,0.3555093555093555,70.68640183879043
124,Btd,2,4,17,-24.93190196393601,0.6232439335887612,65.06809803606399
125,Btd,3,7,0,-30.64335361398148,0.5099085365853658,59.356646386018525
126,Btd,3,7,1,-29.07003561901246,0.4735278227984873,60.92996438098754
127,Btd,3,7,2,-30.138588389213208,0.2282048691787049,59.86141161078679
128,Btd,3,7,3,-33.8584864621855,0.2757340901648292,56.1415135378145
129,Btd,3,7,4,-35.08947315109624,0.2300572939620978,54.91052684890376
130,Btd,3,7,5,-36.32946106436746,0.2697935042025526,53.67053893563254
131,Btd,3,7,6,-38.0099375201259,0.2981999320729084,51.9900624798741
132,Btd,3,7,7,-37.57251384765975,0.3107763333738306,52.42748615234025
133,Btd,3,7,8,-38.2074336833853,0.2416806097787693,51.7925663166147
134,Btd,3,7,9,-37.2254129499027,0.2561740890688259,52.7745870500973
135,Btd,3,7,10,-37.465548528410665,0.2581950627276406,52.534451471589335
136,Btd,3,7,11,-38.114764760789214,0.2419647114926084,51.885235239210786
137,Btd,3,7,12,-38.07561577740088,0.3465485074626865,51.92438422259912
138,Btd,3,7,13,-37.17258759513607,0.3559184993531695,52.82741240486393
139,Btd,3,7,14,-37.25811449774301,0.3423007096880673,52.74188550225699
140,Btd,3,7,15,-37.810402653424525,0.3401232454638822,52.189597346575475
141,Btd,3,7,16,-35.90678855958007,0.4015339966832504,54.09321144041993
142,Btd,3,7,17,-36.77773119192582,0.3020620179442783,53.22226880807418
143,Btd,3,7,18,-36.6358192131792,0.3268212525104984,53.3641807868208
144,Btd,3,7,19,-36.86094153666266,0.3521999145664246,53.13905846333734
145,Btd,3,7,20,-37.08165989792185,0.2998889300259163,52.91834010207815
146,Btd,3,7,21,-36.96386486824956,0.32992700729927,53.03613513175044
147,Btd,3,7,22,-35.222558401102525,0.2999250655676283,54.777441598897475
148,Btd,3,7,23,-35.06736000621627,0.3290414878397711,54.93263999378373
149,Btd,3,7,24,-35.27198774835339,0.3462041884816754,54.72801225164661
150,Btd,3,7,25,-37.13469389969344,0.3342657342657342,52.86530610030656
151,Btd,3,7,26,-37.50574873428571,0.4807400667273279,52.49425126571429
152,Btd,3,7,27,-36.92876750455691,0.3610919935765084,53.07123249544309
153,Btd,3,7,28,-37.68018468416287,0.3480253109317041,52.31981531583713
154,Btd,3,7,29,-38.14364457315263,0.4028812717337307,51.85635542684737
155,Btd,3,7,30,-36.51943903499091,0.4168443496801706,53.48056096500909
161,Btd,4,10,0,-41.57245615877819,0.5967413441955194,48.42754384122181
162,Btd,4,10,1,-42.52733325882719,0.7254901960784313,47.47266674117281
163,Btd,4,10,2,-41.77000789552523,0.691358024691358,48.22999210447477
164,Btd,4,10,3,-38.44602503824471,0.5836909871244635,51.55397496175529
165,Btd,4,10,4,-32.112184120460235,0.6616822429906543,57.887815879539765
166,Btd,4,10,5,-16.85481364250098,0.6593886462882096,73.14518635749903
167,Btd,4,10,6,-16.505843096244668,0.7426900584795322,73.49415690375534
168,Btd,5,13,0,-27.41407629179228,0.8611825192802056,62.585923708207716
169,Btd,5,13,1,-24.493840182303845,0.8358862144420132,65.50615981769616
170,Btd,5,13,2,-32.288688549058136,0.7943760984182777,57.711311450941864
171,Btd,5,13,3,-31.6021346660301,0.8620689655172413,58.397865333969904
172,Btd,5,13,4,-6.37410942806046,0.3520390379923318,83.62589057193954
173,Btd,5,13,4,-32.096939353718895,0.8006535947712419,57.903060646281105
174,Btd,5,13,5,-10.176612631834873,0.2775720164609053,79.82338736816513
175,Btd,5,13,5,-42.43379859515726,0.5761904761904761,47.56620140484274
176,Btd,5,13,5,-30.99813854018418,0.7842465753424658,59.00186145981582
177,Btd,5,13,6,-14.725241382602224,0.2426447816661505,75.27475861739778
178,Btd,5,13,6,-44.36226896710501,0.5727956254272044,45.63773103289499
179,Btd,5,13,6,-26.22535570845054,0.8793103448275862,63.774644291549464
180,Btd,5,13,7,-44.45905015396515,0.2685799601857996,45.54094984603485
181,Btd,5,13,7,-16.45446995157516,0.2300566846398451,73.54553004842484
182,Btd,5,13,7,-22.33461046544064,0.7981927710843374,67.66538953455935
183,Btd,5,13,8,-42.81804676101876,0.1556435040718471,47.18195323898124
184,Btd,5,13,8,-16.611204135619285,0.2142251302556646,73.38879586438071
185,Btd,5,13,9,-54.3537876751638,0.407949790794979,35.6462123248362
186,Btd,5,13,9,-43.674929804866416,0.1335188584285629,46.325070195133584
187,Btd,5,13,9,-18.75543519458752,0.247941048981361,71.24456480541248
188,Btd,5,13,10,-55.94219377481839,0.5323117921385743,34.05780622518161
189,Btd,5,13,10,-45.229517871895936,0.1526101549667928,44.770482128104064
190,Btd,5,13,10,-20.95122056027505,0.2455442627780232,69.04877943972495
191,Btd,5,13,11,-62.54213659277359,0.5727699530516432,27.457863407226412
192,Btd,5,13,11,-44.69835014459368,0.1866482504604051,45.30164985540632
193,Btd,5,13,11,-19.46400089401069,0.3245707017171931,70.5359991059893
194,Btd,5,13,12,-62.04336800026556,0.7318235995232419,27.95663199973444
195,Btd,5,13,12,-42.44199473606714,0.2662955910355939,47.55800526393286
196,Btd,5,13,12,-16.829383386994774,0.3606303280805993,73.17061661300522
197,Btd,5,13,13,-62.47823954435024,0.8134796238244514,27.521760455649762
198,Btd,5,13,13,-42.248842140947325,0.2716335030078667,47.751157859052675
199,Btd,5,13,13,-16.45368146723375,0.3836831214898019,73.54631853276625
200,Btd,5,13,14,-41.16485290860512,0.3238118098895823,48.83514709139488
201,Btd,5,13,14,-15.985118914376812,0.6140077821011674,74.01488108562319
202,Btd,5,13,15,-36.49179888782762,0.3682310469314079,53.50820111217238
203,Btd,5,13,15,-16.73995756333418,0.6794425087108014,73.26004243666583
