"dataset","sample","condition","frame","time_s","time_min","distance","percentage"
"Lateral2","ablated1","ablated",699,363.5008302,6.05834717,12.9103967998603,83.818959534989
"Lateral2","ablated1","ablated",749,389.5023202,6.49170533666667,11.9754946054454,77.749236782263
"Lateral2","ablated1","ablated",799,415.5038102,6.92506350333333,13.163124832343,85.459761212615
"Lateral2","ablated1","ablated",824,428.5045552,7.14174258666667,13.4634629011689,87.4096644439398
"Lateral4","ablated2","ablated",0,0,0,13.7184382312721,100
"Lateral4","ablated2","ablated",49,25.4814553,0.424690921666667,14.0683997910009,102.551030619003
"Lateral4","ablated2","ablated",99,51.4829403,0.858049005,13.9832557702022,101.930376727042
"Lateral4","ablated2","ablated",149,77.4844253,1.29140708833333,13.0099463390487,94.8354770398841
"Lateral4","ablated2","ablated",199,103.4859103,1.72476517166667,13.2792580696564,96.7986139951806
"Lateral4","ablated2","ablated",249,129.4873953,2.158123255,13.0001077092026,94.7637587460066
"Lateral4","ablated2","ablated",299,155.4888803,2.59148133833333,11.259607316922,82.0764516128007
"Lateral4","ablated2","ablated",349,181.4903653,3.02483942166667,11.3726773396533,82.9006709650705
"Lateral4","ablated2","ablated",399,207.4918503,3.458197505,10.7400376999659,78.2890699284066
"Lateral4","ablated2","ablated",449,233.4933353,3.89155558833333,10.7330858971293,78.2383950431216
"Lateral4","ablated2","ablated",499,259.4948203,4.32491367166667,10.2534678674519,74.7422388364765
"Lateral4","ablated2","ablated",549,285.4963053,4.758271755,10.1026117306453,73.6425791356897
"Lateral4","ablated2","ablated",599,311.4977903,5.19162983833333,10.2263945832216,74.5448892273307
"Lateral4","ablated2","ablated",649,337.4992753,5.62498792166667,9.80154894107615,71.447994121757
"Lateral4","ablated2","ablated",699,363.5007603,6.058346005,10.2263945832216,74.5448892273307
"Lateral4","ablated2","ablated",749,389.5022453,6.49170408833333,10.2732070710398,74.8861269617506
"Lateral4","ablated2","ablated",799,415.5037303,6.92506217166667,11.2681269251738,82.1385549521766
"Lateral4","ablated2","ablated",849,441.5052153,7.358420255,11.668842175358,85.0595525426365
"Lateral4","ablated2","ablated",899,467.5067003,7.79177833833333,12.9335011971229,94.2782332732314
"Lateral4","ablated2","ablated",949,493.5081853,8.22513642166667,13.3537240277566,97.3414305814778
"Lateral4","ablated2","ablated",999,519.5096703,8.658494505,14.110779144034,102.859953196914
"Lateral10S","ablated3","ablated",0,0,0,20.7616900460045,100
"Lateral10S","ablated3","ablated",49,25.4814602,0.424691003333333,21.0199832372784,101.244085576374
"Lateral10S","ablated3","ablated",99,51.4829502,0.85804917,19.4691403127092,93.7743520376655
"Lateral10S","ablated3","ablated",149,77.4844402,1.29140733666667,18.5118295013001,89.1634036549093
"Lateral10S","ablated3","ablated",199,103.4859302,1.72476550333333,17.2997177789292,83.3251904859185
"Lateral10S","ablated3","ablated",249,129.4874202,2.15812367,15.561292469493,74.9519544652278
"Lateral10S","ablated3","ablated",299,155.4889102,2.59148183666667,13.8378094761273,66.6506890598257
"Lateral10S","ablated3","ablated",349,181.4904002,3.02484000333333,13.8463309922451,66.69173348395
"Lateral10S","ablated3","ablated",399,207.4918902,3.45819817,12.8063274821271,61.6824904607978
"Lateral10S","ablated3","ablated",449,233.4933802,3.89155633666667,12.5622329621425,60.5067936873476
"Lateral10S","ablated3","ablated",499,259.4948702,4.32491450333333,12.5589434888623,60.4909497301698
"Lateral10S","ablated3","ablated",549,285.4963602,4.75827267,12.0227025353341,57.908111086784
"Lateral10S","ablated3","ablated",599,311.4978502,5.19163083666667,11.4519186041382,55.1588939954438
"Lateral10S","ablated3","ablated",649,337.4993402,5.62498900333333,11.4837057406545,55.3119987592938
"Lateral10S","ablated3","ablated",699,363.5008302,6.05834717,11.1455098425337,53.6830567156962
"Lateral10S","ablated3","ablated",749,389.5023202,6.49170533666667,11.6995273438134,56.3515172314448
"Lateral10S","ablated3","ablated",799,415.5038102,6.92506350333333,12.3295263213055,59.385947357779
"Lateral10S","ablated3","ablated",849,441.5053002,7.35842167,13.3601601949671,64.3500609312783
"Lateral10S","ablated3","ablated",885,460.226373,7.67043955,13.1979610162026,63.568818275189
