"Embryo","Stock","Genotype","Side","Type","Fold"
"btd-gap_dorsal_1_z1.5_t51s_E4","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E8","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E10","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E7","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E10","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E11","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E4","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E6","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E8","btd","heterozygote","right","CF",1
"btd-gap_dorsal1_z3_t51s_E9","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","left","EF",1
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","left","EF",1
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","right","EF",1
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","right","EF",1
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","right","EF",1
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","right","EF",1
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","left","EF",2
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","left","EF",3
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","left","EF",2
"btd-gap_dorsal_1_z3_t45s_E14","btd","homozygote","left","EF",2
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","left","EF",3
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","left","EF",2
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","left","EF",2
"btd-gap_z3_t55s_E14","btd","homozygote","left","EF",2
"btd-gap_z3_t55s_E6","btd","homozygote","left","EF",3
"btd-gap_z3_t55s_E8","btd","homozygote","left","EF",2
"btd-gap2_z3_t55s_E7","btd","homozygote","left","EF",2
"btd-hisgap1_E8","btd","homozygote","left","EF",3
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","right","EF",2
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","right","EF",2
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","right","EF",2
"btd-gap_dorsal_1_z3_t45s_E14","btd","homozygote","right","EF",1
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","right","EF",1
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","right","EF",2
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","right","EF",2
"eve-Gap_1_t45s_z3_E1","eve","heterozygote","left","CF",1
"eve-Gap_1_t45s_z3_E4","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E1","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E10","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E11","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E12","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E15","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E2","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E4","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E12","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E13","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E15","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E17","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E19","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E2","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E3","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E5","eve","heterozygote","left","CF",1
"eve-gap_dorsal_2_z3_t53s_E9","eve","heterozygote","left","CF",1
"eve-Gap1_t60s_z3_E11","eve","heterozygote","left","CF",1
"eve-Gap1_t60s_z3_E16","eve","heterozygote","left","CF",1
"eve-Gap1_t60s_z3_E4","eve","heterozygote","left","CF",1
"eve-Gap1_t60s_z3_E5","eve","heterozygote","left","CF",1
"eve-Gap1_t60s_z3_E9","eve","heterozygote","left","CF",1
"eve-gap_dorsal_1_z3_t52s_E1","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E10","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E11","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E12","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E15","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E2","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E4","eve","heterozygote","right","CF",1
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E12","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E13","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E15","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E17","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E19","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E2","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E3","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E5","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E9","eve","heterozygote","right","CF",1
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","left","EF",1
"eve-Gap1_t60s_z3_E16","eve","heterozygote","left","EF",1
"eve-Gap1_t60s_z3_E4","eve","heterozygote","left","EF",1
"eve-Gap1_t60s_z3_E5","eve","heterozygote","left","EF",1
"eve-Gap1_t60s_z3_E9","eve","heterozygote","left","EF",1
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","right","EF",1
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","right","EF",1
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","right","EF",1
"eve-Gap_1_E13","eve","homozygote","left","EF",1
"eve-Gap_1_t45s_z3_E11","eve","homozygote","left","EF",2
"eve-gap_dorsal_1_z3_t52s_E13","eve","homozygote","left","EF",1
"eve-gap_dorsal_1_z3_t52s_E19","eve","homozygote","left","EF",1
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","left","EF",3
"eve-gap_dorsal_2_z3_t53s_E14","eve","homozygote","left","EF",2
"eve-gap_dorsal_2_z3_t53s_E4","eve","homozygote","left","EF",1
"eve-Gap1_t60s_z3_E12","eve","homozygote","left","EF",2
"eve-Gap1_t60s_z3_E2","eve","homozygote","left","EF",2
"eve-Gap1_t60s_z3_E3","eve","homozygote","left","EF",2
"eve-gap_dorsal_1_z3_t52s_E13","eve","homozygote","right","EF",2
"eve-gap_dorsal_1_z3_t52s_E19","eve","homozygote","right","EF",1
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","right","EF",3
"eve-gap_dorsal_2_z3_t53s_E14","eve","homozygote","right","EF",2
"eve-gap_dorsal_2_z3_t53s_E4","eve","homozygote","right","EF",2
"prd-Gap_1_t60s_E1","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E11","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E15","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E2","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E3","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E5","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E6","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E7","prd","heterozygote","left","CF",1
"prd-Gap_1_t60s_E8","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E1","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E10","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E13","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E14","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E15","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E18","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E19","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E4","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E5","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E8","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E9","prd","heterozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E10","prd","heterozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E12","prd","heterozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E13","prd","heterozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E15","prd","heterozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E3","prd","heterozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E9","prd","heterozygote","left","CF",1
"prd-gap_1_z3_t52s_E1","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E10","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E13","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E14","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E15","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E18","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E19","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E4","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E5","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E8","prd","heterozygote","right","CF",1
"prd-gap_1_z3_t52s_E9","prd","heterozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E10","prd","heterozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E12","prd","heterozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E13","prd","heterozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E15","prd","heterozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E3","prd","heterozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E9","prd","heterozygote","right","CF",1
"prd-Gap_1_t60s_E11","prd","heterozygote","left","EF",2
"prd-Gap_1_t60s_E2","prd","heterozygote","left","EF",2
"prd-Gap_1_t60s_E3","prd","heterozygote","left","EF",1
"prd-Gap_1_t60s_E5","prd","heterozygote","left","EF",1
"prd-Gap_1_t60s_E8","prd","heterozygote","left","EF",1
"prd-gap_1_z3_t52s_E13","prd","heterozygote","left","EF",1
"prd-gap_dorsal_1_z3_t41s_E3","prd","heterozygote","left","EF",1
"prd-Gap_1_t60s_E10","prd","homozygote","left","CF",1
"prd-gap_1_z3_t52s_E17","prd","homozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E14","prd","homozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E4","prd","homozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E6","prd","homozygote","left","CF",1
"prd-gap_dorsal_1_z3_t41s_E7","prd","homozygote","left","CF",1
"prd-gap_1_z3_t52s_E12","prd","homozygote","right","CF",1
"prd-gap_1_z3_t52s_E17","prd","homozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E14","prd","homozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E4","prd","homozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E6","prd","homozygote","right","CF",1
"prd-gap_dorsal_1_z3_t41s_E7","prd","homozygote","right","CF",1
"prd-Gap_1_t60s_E10","prd","homozygote","left","EF",1
"prd-Gap_1_t60s_E12","prd","homozygote","left","EF",2
"prd-Gap_1_t60s_E16","prd","homozygote","left","EF",1
"prd-Gap_1_t60s_E4","prd","homozygote","left","EF",3
"prd-Gap_1_t60s_E9","prd","homozygote","left","EF",3
"prd-gap_1_z3_t52s_E11","prd","homozygote","left","EF",2
"prd-gap_1_z3_t52s_E12","prd","homozygote","left","EF",3
"prd-gap_1_z3_t52s_E16","prd","homozygote","left","EF",1
"prd-gap_dorsal_1_z3_t41s_E5","prd","homozygote","left","EF",2
"prd-gap_dorsal_1_z3_t41s_E6","prd","homozygote","left","EF",1
"prd-gap_1_z3_t52s_E11","prd","homozygote","right","EF",1
"prd-gap_1_z3_t52s_E12","prd","homozygote","right","EF",2
"prd-gap_1_z3_t52s_E16","prd","homozygote","right","EF",2
"prd-gap_dorsal_1_z3_t41s_E5","prd","homozygote","right","EF",2
"Gap,stg[2]_2_z3_t50s_E10","stg","heterozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E13","stg","heterozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E14","stg","heterozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E15","stg","heterozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E4","stg","heterozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E7","stg","heterozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E8","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E1","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E11","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E12","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E13","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E15","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E16","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E2","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E3","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E5","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E7","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E8","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E9","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E1","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E10","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E11","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E12","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E13","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E15","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E2","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E3","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E4","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E5","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E6","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E7","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E8","stg","heterozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E9","stg","heterozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E1","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E11","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E12","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E13","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E15","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E16","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E2","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E3","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E5","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E7","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E8","stg","heterozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E9","stg","heterozygote","right","CF",1
"Gap,stg[2]_2_z3_t50s_E13","stg","heterozygote","left","EF",1
"Gap,stg[2]_2_z3_t50s_E7","stg","heterozygote","left","EF",1
