stock	zygosity	avg_folds	sd_folds	pct_ef	n	lateral	dorsal
wt	wildtype	1.8	0.6	 81	36	16	20
btd	heterozygote	1.1	0.2	 14	28	 6	22
btd	homozygote	2.0	1.0	 92	13	 6	 7
eve	heterozygote	1.1	0.2	 12	25	 7	18
eve	homozygote	1.8	0.6	100	10	 5	 5
prd	heterozygote	1.2	0.4	 23	26	 9	17
prd	homozygote	1.4	0.7	 43	14	 5	 9
stg	heterozygote	1.2	0.4	 27	33	21	12
stg	homozygote	1.2	0.4	 23	13	 8	 5
