LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility
,,,(quality),(micron),(micron),(micron),(sec),,(micron),
ID2853579,2853579,0,-1,21.8500018728573,41.5642892769391,0,0,0,5,1
ID2853625,2853625,1,-1,35.5769871764402,38.4976223474152,0,0,0,5,1
ID2853627,2853627,1,-1,35.5769871764402,39.6658764158053,0,25.4324553,49,5,1
ID2853581,2853581,0,-1,21.9960336314061,43.4627021380729,0,25.4324553,49,5,1
ID2853583,2853583,0,-1,21.5579383557598,45.0690514821092,0,51.3839403,99,5,1
ID2853629,2853629,1,-1,35.2849236593427,41.4182575183903,0,51.3839403,99,5,1
ID2853631,2853631,1,-1,35.4309554178914,43.7547656551704,0,77.3354253,149,5,1
ID2853585,2853585,0,-1,21.7039701143085,46.2373055504992,0,77.3354253,149,5,1
ID2853587,2853587,0,-1,21.1198430801135,47.6976231359868,0,103.2869103,199,5,1
ID2853633,2853633,1,-1,34.7007966251476,45.799210274853,0,103.2869103,199,5,1
ID2853635,2853635,1,-1,34.4087331080501,47.6976231359868,0,129.757425,250,5,1
ID2853589,2853589,0,-1,21.2658748386623,50.1801630313156,0,129.757425,250,5,1
ID2853591,2853591,0,-1,21.2658748386623,52.6627029266444,0,155.1898803,299,5,1
ID2853637,2853637,1,-1,34.4087331080501,49.5960359971206,0,155.1898803,299,5,1
ID2853593,2853593,0,-1,21.2658748386623,55.5833380976195,0,181.1413653,349,5,1
ID2853639,2853639,1,-1,34.5547648665989,51.6404806168031,0,181.1413653,349,5,1
ID2853595,2853595,0,-1,20.827779563016,57.9198462343995,0,207.0928503,399,5,1
ID2853641,2853641,1,-1,34.4087331080501,54.2690522706807,0,207.0928503,399,5,1
ID2853643,2853643,1,-1,33.9706378324039,56.8976239245582,0,233.0443353,449,5,1
ID2853597,2853597,0,-1,20.3896842873698,60.1103226126308,0,233.0443353,449,5,1
ID2853599,2853599,0,-1,20.243652528821,62.0087354737646,0,258.9958203,499,5,1
ID2853645,2853645,1,-1,33.9706378324039,58.7960367856921,0,258.9958203,499,5,1
ID2853647,2853647,1,-1,34.2627013495014,61.1325449224721,0,284.9473053,549,5,1
ID2853601,2853601,0,-1,19.8055572531748,64.783338886191,0,284.9473053,549,5,1
ID2853603,2853603,0,-1,19.659525494626,67.4119105400685,0,310.8987903,599,5,1
ID2853649,2853649,1,-1,34.2627013495014,63.6150848178009,0,310.8987903,599,5,1
ID2853651,2853651,1,-1,33.9706378324039,65.2214341618372,0,336.8502753,649,5,1
ID2853605,2853605,0,-1,19.8055572531748,69.3103234012023,0,336.8502753,649,5,1
ID2853607,2853607,0,-1,19.5134937360772,71.2087362623361,0,362.8017603,699,5,1
ID2853653,2853653,1,-1,33.8246060738551,67.2658787815198,0,362.8017603,699,5,1
ID2853609,2853609,0,-1,19.8055572531748,73.3992126405674,0,388.7532453,749,5,1
ID2853655,2853655,1,-1,34.2627013495014,69.8944504353973,0,388.7532453,749,5,1
ID2853611,2853611,0,-1,20.243652528821,75.8817525358963,0,414.7047303,799,5,1
ID2853657,2853657,1,-1,34.5547648665989,72.6690538478237,0,414.7047303,799,5,1
ID2853659,2853659,1,-1,34.7007966251476,75.0055619846038,0,440.6562153,849,5,1
ID2853613,2853613,0,-1,20.3896842873698,78.2182606726763,0,440.6562153,849,5,1
ID2853615,2853615,0,-1,20.5357160459185,79.8246100167126,0,466.6077003,899,5,1
ID2853661,2853661,1,-1,34.8468283836964,77.1960383628351,0,466.6077003,899,5,1
ID2853663,2853663,1,-1,35.5769871764402,80.4087370509076,0,492.5591853,949,5,1
ID2853617,2853617,0,-1,20.6817478044673,82.7452451876877,0,492.5591853,949,5,1
ID2853619,2853619,0,-1,20.9738113215648,85.0817533244678,0,518.5106703,999,5,1
ID2853665,2853665,1,-1,36.0150824520864,82.7452451876877,0,518.5106703,999,5,1
