LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility
,,,(quality),(micron),(micron),(micron),(sec),,(micron),
ID2853431,2853431,1,-1,69.8944504353973,22.7261924241498,0,0,0,5,1
ID2853380,2853380,0,-1,59.5261955784358,22.4341289070523,0,0,0,5,1
ID2853433,2853433,1,-1,70.0404821939461,24.3325417681861,0,25.4814553,49,5,1
ID2853382,2853382,0,-1,59.0881003027896,24.3325417681861,0,25.4814553,49,5,1
ID2853435,2853435,1,-1,70.3325457110436,26.3769863878687,0,51.4829403,99,5,1
ID2853384,2853384,0,-1,59.3801638198871,26.0849228707712,0,51.4829403,99,5,1
ID2853386,2853386,0,-1,59.5261955784358,27.39920869771,0,77.4844253,149,5,1
ID2853437,2853437,1,-1,71.6468315379824,27.8373039733562,0,77.4844253,149,5,1
ID2853439,2853439,1,-1,72.0849268136287,29.2976215588438,0,103.4859103,199,5,1
ID2853388,2853388,0,-1,59.9642908540821,29.73571683449,0,103.4859103,199,5,1
ID2853390,2853390,0,-1,60.2563543711796,30.90397090288,0,129.4873953,249,5,1
ID2853441,2853441,1,-1,72.0849268136287,31.3420661785263,0,129.4873953,249,5,1
ID2853443,2853443,1,-1,72.2309585721774,31.9261932127213,0,155.4888803,299,5,1
ID2853392,2853392,0,-1,60.6944496468258,31.4880979370751,0,155.4888803,299,5,1
ID2853394,2853394,0,-1,60.6944496468258,32.8023837640138,0,181.4903653,349,5,1
ID2853445,2853445,1,-1,72.0849268136287,33.8246060738551,0,181.4903653,349,5,1
ID2853447,2853447,1,-1,71.7928632965312,35.2849236593427,0,207.4918503,399,5,1
ID2853396,2853396,0,-1,60.5484178882771,33.8246060738551,0,207.4918503,399,5,1
ID2853449,2853449,1,-1,71.5007997794337,36.7452412448302,0,233.4933353,449,5,1
ID2853398,2853398,0,-1,60.2563543711796,34.7007966251476,0,233.4933353,449,5,1
ID2853451,2853451,1,-1,71.3547680208849,37.9134953132202,0,259.4948203,499,5,1
ID2853400,2853400,0,-1,59.9642908540821,35.8690506935377,0,259.4948203,499,5,1
ID2853402,2853402,0,-1,59.6722273369846,37.6214317961227,0,285.4963053,549,5,1
ID2853453,2853453,1,-1,71.5007997794337,39.227781140159,0,285.4963053,549,5,1
ID2853455,2853455,1,-1,71.3547680208849,41.4182575183903,0,311.4977903,599,5,1
ID2853404,2853404,0,-1,59.5261955784358,38.643654105964,0,311.4977903,599,5,1
ID2853406,2853406,0,-1,59.6722273369846,40.3960352085491,0,337.4992753,649,5,1
ID2853457,2853457,1,-1,71.3547680208849,42.7325433453291,0,337.4992753,649,5,1
ID2853459,2853459,1,-1,71.0627045037874,44.1928609308167,0,363.5007603,699,5,1
ID2853408,2853408,0,-1,59.2341320613383,42.0023845525853,0,363.5007603,699,5,1
ID2853410,2853410,0,-1,58.7960367856921,43.3166703795241,0,389.5022453,749,5,1
ID2853461,2853461,1,-1,70.9166727452386,45.3611149992067,0,389.5022453,749,5,1
ID2853463,2853463,1,-1,70.6246092281411,46.383337309048,0,415.5037303,799,5,1
ID2853412,2853412,0,-1,58.5039732685945,44.4849244479142,0,415.5037303,799,5,1
ID2853465,2853465,1,-1,70.3325457110436,48.2817501701818,0,441.5052153,849,5,1
ID2853414,2853414,0,-1,58.5039732685945,46.0912737919505,0,441.5052153,849,5,1
ID2853467,2853467,1,-1,70.6246092281411,49.3039724800231,0,467.5067003,899,5,1
ID2853416,2853416,0,-1,58.3579415100458,47.551591377438,0,467.5067003,899,5,1
ID2853418,2853418,0,-1,58.5039732685945,48.2817501701818,0,493.5081853,949,5,1
ID2853469,2853469,1,-1,70.0404821939461,50.9103218240593,0,493.5081853,949,5,1
ID2853471,2853471,1,-1,70.3325457110436,52.0785758924494,0,519.5096703,999,5,1
ID2853420,2853420,0,-1,58.5039732685945,49.8880995142181,0,519.5096703,999,5,1
