"embryo","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","time_tf_buck","time_tf_deep"
"eve-Gap1_t60s_z3_E12","3D_eve-Gap1_t60s_z3_E12.tif:0039-0223-0960:38",527,1,528,402,318,401,317,23.9089184060721,39.8481973434535,7,26,39,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,19,32
"eve-Gap1_t60s_z3_E16","3D_eve-Gap1_t60s_z3_E16.tif:0070-0204-0986:69",504,20,524,478,302,458,282,9.12698412698413,44.047619047619,41,53,70,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,12,29
"eve-Gap1_t60s_z3_E2","3D_eve-Gap1_t60s_z3_E2.tif:0038-0197-0974:37",512,13,525,394,366,381,353,25.5859375,31.0546875,6,28,38,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,22,32
"eve-Gap1_t60s_z3_E3","3D_eve-Gap1_t60s_z3_E3.tif:0087-0205-0978:86",517,11,528,366,341,355,330,31.3346228239845,36.1702127659574,53,79,87,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,26,34
"eve-Gap1_t60s_z3_E4","3D_eve-Gap1_t60s_z3_E4.tif:0046-0226-0976:45",518,10,528,475,318,465,308,10.2316602316602,40.5405405405405,16,31,46,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,15,30
"eve-Gap1_t60s_z3_E5","3D_eve-Gap1_t60s_z3_E5.tif:0082-0202-0977:81",486,26,512,457,329,431,303,11.3168724279835,37.6543209876543,60,71,82,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,11,22
"eve-Gap1_t60s_z3_E9","3D_eve-Gap1_t60s_z3_E9.tif:0041-0195-0967:40",499,17,516,468,326,451,309,9.61923847695391,38.0761523046092,14,25,41,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,11,27
"prd-Gap_1_t60s_E1","3D_prd-Gap_1_t60s_E1.tif:0080-0266-0984:79",504,29,533,500,362,471,333,6.54761904761905,33.9285714285714,60,66,80,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,6,20
"prd-Gap_1_t60s_E10","3D_prd-Gap_1_t60s_E10.tif:0067-0287-0998:66",482,44,526,439,316,395,272,18.0497925311203,43.5684647302905,46,55,67,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,9,21
"prd-Gap_1_t60s_E11","3D_prd-Gap_1_t60s_E11.tif:0054-0285-1000:53",493,39,532,373,324,334,285,32.2515212981745,42.1906693711968,26,44,54,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,18,28
"prd-Gap_1_t60s_E12","3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75",482,35,517,341,320,306,285,36.5145228215768,40.8713692946058,48,69,76,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,TRUE,21,28
"prd-Gap_1_t60s_E13","3D_prd-Gap_1_t60s_E13.tif:0071-0277-0990:70",523,21,544,336,303,315,282,39.7705544933078,46.0803059273423,40,61,71,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,3,NA,3,TRUE,21,31
"prd-Gap_1_t60s_E15","3D_prd-Gap_1_t60s_E15.tif:0072-0296-0992:71",462,52,514,459,311,407,259,11.9047619047619,43.9393939393939,49,57,72,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,8,23
"prd-Gap_1_t60s_E16","3D_prd-Gap_1_t60s_E16.tif:0073-0272-0994:72",485,41,526,313,303,272,262,43.9175257731959,45.979381443299,46,64,73,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,18,27
