"stock","zygosity","status","gb_pct.count","gb_pct.mean","gb_pct.sd","time.count","time.mean","time.sd"
"wt","wildtype","tf_buck","16","8.6767855593044","1.77374880506473","16","7.25","2.23606797749979"
"btd","heterozygote","tf_buck","6","9.79764113357861","1.94000150075721","6","8.23611111111111","1.7219309789583"
"btd","homozygote","tf_buck","5","36.3821545795436","2.41605163313802","5","21.35","4.67944678591628"
"eve","heterozygote","tf_buck","7","8.83448953128192","2.25967285713696","7","12.1785714285714","1.71217628153401"
"eve","homozygote","tf_buck","5","28.4764262791533","3.92761257972743","5","22.6","2.60768096208106"
"prd","heterozygote","tf_buck","10","18.0252238697467","12.2008536811552","10","11.3","6.20125435339944"
"prd","homozygote","tf_buck","5","33.0684797789635","9.48012619701338","5","18.2","5.44977063737548"
"wt","wildtype","tf_deep","16","42.3835944081403","1.8627574614923","16","27.375","3.64920082575167"
"btd","heterozygote","tf_deep","6","41.9868697760316","1.95602711748835","6","24.6388888888889","5.90566269370778"
"btd","homozygote","tf_deep","5","44.308646092749","2.25355797765616","5","28.2666666666667","5.00915827925877"
"eve","heterozygote","tf_deep","7","37.0574325378497","4.53221814940303","7","26.7142857142857","2.62769136406122"
"eve","homozygote","tf_deep","5","37.8634949108839","4.3236604109671","5","32.45","2.37434201411675"
"prd","heterozygote","tf_deep","10","38.2551091745342","4.8811417653331","10","23.1","4.20185144377518"
"prd","homozygote","tf_deep","5","41.6929267589777","3.04594459391181","5","27.4","4.61519230368573"
"btd+eve","heterozygote","tf_buck","13","9.27902104003424","2.09069000346124","13","10.3589743589744","2.62409257141623"
"btd+eve","homozygote","tf_buck","10","32.4292904293485","5.17799976589703","10","21.975","3.63157662254731"
"btd+eve","heterozygote","tf_deep","13","39.3325574170106","4.2903167681261","13","25.7564102564103","4.37539172035518"
"btd+eve","homozygote","tf_deep","10","41.0860705018165","4.70153859006497","10","30.3583333333333","4.30332379434924"
