"label_tf","embryo","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep"
"3D_prd-Gap_1_t60s_E7.tif:0045-0254-0992:44","prd-Gap_1_t60s_E7","480","43","523","475","373","432","330","10","31.25","28","35","45"
"3D_prd-Gap_1_t60s_E8.tif:0084-0246-0962:83","prd-Gap_1_t60s_E8","485","32","517","390","319","358","287","26.1855670103093","40.8247422680412","59","74","84"
"3D_prd-Gap_1_t60s_E9.tif:0088-0273-0981:87","prd-Gap_1_t60s_E9","502","29","531","356","337","327","308","34.8605577689243","38.6454183266932","54","77","88"
"3D_rgap_1b_z3_t60s_E1.tif:0075-0215-0999:74","rgap_1b_z3_t60s_E1","502","35","537","496","316","461","281","8.16733067729083","44.0239043824701","45","55","75"
"3D_rgap_1b_z3_t60s_E11.tif:0074-0215-0992:73","rgap_1b_z3_t60s_E11","493","37","530","478","322","441","285","10.5476673427992","42.1906693711968","47","52","74"
"3D_rgap_1b_z3_t60s_E12.tif:0074-0240-0988:73","rgap_1b_z3_t60s_E12","515","25","540","504","321","479","296","6.99029126213591","42.5242718446602","46","53","74"
"3D_rgap_1b_z3_t60s_E13.tif:0063-0218-0979:62","rgap_1b_z3_t60s_E13","497","31","528","481","302","450","271","9.45674044265593","45.4728370221328","35","43","63"
"3D_rgap_1b_z3_t60s_E14.tif:0061-0228-0984:60","rgap_1b_z3_t60s_E14","493","35","528","491","319","456","284","7.50507099391481","42.393509127789","30","39","61"
"3D_rgap_1b_z3_t60s_E15.tif:0081-0249-0998:80","rgap_1b_z3_t60s_E15","508","31","539","494","328","463","297","8.85826771653542","41.5354330708661","48","58","81"
"3D_rgap_1b_z3_t60s_E16.tif:0053-0254-0976:52","rgap_1b_z3_t60s_E16","502","28","530","480","312","452","284","9.9601593625498","43.4262948207171","24","33","53"
"3D_rgap_1b_z3_t60s_E17.tif:0078-0245-0983:77","rgap_1b_z3_t60s_E17","508","27","535","491","317","464","290","8.66141732283464","42.9133858267717","44","55","78"
"3D_rgap_1b_z3_t60s_E2.tif:0088-0270-0981:87","rgap_1b_z3_t60s_E2","483","39","522","477","308","438","269","9.3167701863354","44.3064182194617","61","69","88"
"3D_rgap_1b_z3_t60s_E3.tif:0050-0255-0968:49","rgap_1b_z3_t60s_E3","487","33","520","490","330","457","297","6.16016427104724","39.0143737166324","27","34","50"
"3D_rgap_1b_z3_t60s_E4.tif:0074-0212-0970:73","rgap_1b_z3_t60s_E4","492","31","523","488","315","457","284","7.11382113821138","42.2764227642276","50","54","74"
"3D_rgap_1b_z3_t60s_E5.tif:0074-0198-0974:73","rgap_1b_z3_t60s_E5","491","33","524","474","337","441","304","10.183299389002","38.0855397148676","54","60","74"
"3D_rgap_1b_z3_t60s_E6.tif:0077-0237-0987:76","rgap_1b_z3_t60s_E6","491","37","528","467","326","430","289","12.4236252545825","41.1405295315682","53","60","77"
"3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69","rgap_1b_z3_t60s_E7","491","38","529","483","323","445","285","9.36863543788188","41.9551934826884","44","50","70"
"3D_rgap_1b_z3_t60s_E8.tif:0063-0225-0970:62","rgap_1b_z3_t60s_E8","503","26","529","502","309","476","283","5.36779324055667","43.7375745526839","37","40","63"
"3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83","rgap_1b_z3_t60s_E9","503","27","530","486","313","459","286","8.74751491053678","43.1411530815109","56","62","84"
