"embryo","stock","zygosity","size","status","gb_pct","time"
"eve-Gap_1_E13","eve","homozygote",521,"tf_buck",33.3973128598848,22
"eve-Gap_1_t45s_z3_E11","eve","homozygote",515,"tf_buck",28.1553398058252,24
"eve-Gap1_t60s_z3_E12","eve","homozygote",527,"tf_buck",23.9089184060721,19
"eve-Gap1_t60s_z3_E2","eve","homozygote",512,"tf_buck",25.5859375,22
"eve-Gap1_t60s_z3_E3","eve","homozygote",517,"tf_buck",31.3346228239845,26
"eve-Gap_1_E13","eve","homozygote",521,"tf_deep",40.6909788867562,29
"eve-Gap_1_t45s_z3_E11","eve","homozygote",515,"tf_deep",41.5533980582524,35.25
"eve-Gap1_t60s_z3_E12","eve","homozygote",527,"tf_deep",39.8481973434535,32
"eve-Gap1_t60s_z3_E2","eve","homozygote",512,"tf_deep",31.0546875,32
"eve-Gap1_t60s_z3_E3","eve","homozygote",517,"tf_deep",36.1702127659574,34
"prd-Gap_1_t60s_E1","prd","heterozygote",504,"tf_buck",6.54761904761905,6
"prd-Gap_1_t60s_E11","prd","heterozygote",493,"tf_buck",32.2515212981745,18
"prd-Gap_1_t60s_E13","prd","heterozygote",523,"tf_buck",39.7705544933078,21
"prd-Gap_1_t60s_E15","prd","heterozygote",462,"tf_buck",11.9047619047619,8
"prd-Gap_1_t60s_E2","prd","heterozygote",489,"tf_buck",27.8118609406953,19
"prd-Gap_1_t60s_E3","prd","heterozygote",464,"tf_buck",7.54310344827587,7
"prd-Gap_1_t60s_E5","prd","heterozygote",506,"tf_buck",9.09090909090909,5
"prd-Gap_1_t60s_E6","prd","heterozygote",492,"tf_buck",9.14634146341463,7
"prd-Gap_1_t60s_E7","prd","heterozygote",480,"tf_buck",10,7
"prd-Gap_1_t60s_E8","prd","heterozygote",485,"tf_buck",26.1855670103093,15
"prd-Gap_1_t60s_E1","prd","heterozygote",504,"tf_deep",33.9285714285714,20
"prd-Gap_1_t60s_E11","prd","heterozygote",493,"tf_deep",42.1906693711968,28
"prd-Gap_1_t60s_E13","prd","heterozygote",523,"tf_deep",46.0803059273423,31
"prd-Gap_1_t60s_E15","prd","heterozygote",462,"tf_deep",43.9393939393939,23
"prd-Gap_1_t60s_E2","prd","heterozygote",489,"tf_deep",38.4458077709611,25
"prd-Gap_1_t60s_E3","prd","heterozygote",464,"tf_deep",35.9913793103448,21
"prd-Gap_1_t60s_E5","prd","heterozygote",506,"tf_deep",36.3636363636364,20
"prd-Gap_1_t60s_E6","prd","heterozygote",492,"tf_deep",33.5365853658537,21
"prd-Gap_1_t60s_E7","prd","heterozygote",480,"tf_deep",31.25,17
"prd-Gap_1_t60s_E8","prd","heterozygote",485,"tf_deep",40.8247422680412,25
"prd-Gap_1_t60s_E10","prd","homozygote",482,"tf_buck",18.0497925311203,9
"prd-Gap_1_t60s_E12","prd","homozygote",482,"tf_buck",36.5145228215768,21
"prd-Gap_1_t60s_E16","prd","homozygote",485,"tf_buck",43.9175257731959,18
"prd-Gap_1_t60s_E4","prd","homozygote",500,"tf_buck",32,20
"prd-Gap_1_t60s_E9","prd","homozygote",502,"tf_buck",34.8605577689243,23
"prd-Gap_1_t60s_E10","prd","homozygote",482,"tf_deep",43.5684647302905,21
"prd-Gap_1_t60s_E12","prd","homozygote",482,"tf_deep",40.8713692946058,28
"prd-Gap_1_t60s_E16","prd","homozygote",485,"tf_deep",45.979381443299,27
"prd-Gap_1_t60s_E4","prd","homozygote",500,"tf_deep",39.4,27
"prd-Gap_1_t60s_E9","prd","homozygote",502,"tf_deep",38.6454183266932,34
