 ,Label,X,Y,Slice
1,CROP_2024-07-29_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif:gb_infolding:25,315,551,25
2,CROP_2024-07-29_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif:vitelline_posterior:25,317,571,25
3,CROP_2024-07-29_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif:gb_edge_left:25,288,566,25
4,CROP_2024-07-29_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif:gb_edge_right:25,338,562,25
