 ,Label,Angle,Length
1,2019-07-25_MAX_slpGap_t70s_z3_E16_sub20.tif:56,-178.354,99.344
2,2019-07-25_MAX_slpGap_t70s_z3_E15_sub20.tif:44,179.473,92.843
3,2019-07-03_MAX_slpGap_t50s_z3_E9_sub20.tif:73,179.705,55.173
4,2019-07-03_MAX_slpGap_t50s_z3_E7_sub20.tif:84,-178.614,106.191
5,2019-07-03_MAX_slpGap_t50s_z3_E4_sub20.tif:62,177.521,65.896
6,2019-07-03_MAX_slpGap_t50s_z3_E1_sub20.tif:86,180.000,95.884
7,2019-04-25_MAX_slp-CTGap_1_t45s_z3_G4_sub20.tif:79,176.363,117.277
