 ,Label,X,Y,Slice
1,3D_btd-gap-stg_4_z3_t59s_E7.tif:0014-0108-1203:13,400,33,4
2,3D_btd-gap-stg_4_z3_t59s_E7.tif:0014-0108-1203:13,286,29,14
