 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E8.tif:0030-0082-1304:29,425,25,20
2,3D_Gap;stg[2]_green_1_z3_t52_E8.tif:0030-0082-1304:29,319,22,30
