 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E1.tif:0078-0085-1300:77,424,28,68
2,3D_Gap;stg[2]_green_1_z3_t52_E1.tif:0078-0085-1300:77,318,20,78
