 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E3.tif:0071-0101-1336:70,440,33,61
2,3D_Gap;stg[2]_green_1_z3_t52_E3.tif:0071-0101-1336:70,322,24,71
