 	Label	X	Y	Slice
1	3D_eve-Gap1_t60s_z3_E4.tif:0045-0102-1380:44	435	33	35
2	3D_eve-Gap1_t60s_z3_E4.tif:0045-0102-1380:44	326	24	45
