 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E6.tif:0058-0116-1300:57,430,37,48
2,3D_Gap;stg[2]_green_1_z3_t52_E6.tif:0058-0116-1300:57,311,29,58
