 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_2_z3_t50s_E13.tif:0064-0142-1329:63,425,47,54
2,3D_Gap;stg[2]_2_z3_t50s_E13.tif:0064-0142-1329:63,333,34,64
