 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E11.tif:0071-0097-1288:70,424,30,61
2,3D_Gap;stg[2]_green_1_z3_t52_E11.tif:0071-0097-1288:70,311,25,71
