 ,Label,X,Y,Slice
1,3D_eve-Gap1_t60s_z3_E3.tif:0079-0089-1466:78,448,29,69
2,3D_eve-Gap1_t60s_z3_E3.tif:0079-0089-1466:78,360,20,79
