 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E12.tif:0049-0088-1314:48,431,27,39
2,3D_Gap;stg[2]_green_1_z3_t52_E12.tif:0049-0088-1314:48,319,23,49
