 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_2_z3_t50s_E7.tif:0070-0145-1283:69,410,29,60
2,3D_Gap;stg[2]_2_z3_t50s_E7.tif:0070-0145-1283:69,321,54,70
