 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_2_z3_t50s_E15.tif:0032-0201-1340:31,1499,185,22
2,3D_Gap;stg[2]_2_z3_t50s_E15.tif:0032-0201-1340:31,1180,216,32
