 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E2.tif:0067-0089-1283:66,428,29,57
2,3D_Gap;stg[2]_green_1_z3_t52_E2.tif:0067-0089-1283:66,304,22,67
