 	Label	X	Y	Slice
1	3D_Gap,stg[2]_2_z3_t50s_E14.tif:0011-0131-1282:10	416	33	1
2	3D_Gap,stg[2]_2_z3_t50s_E14.tif:0011-0131-1282:10	316	42	11
