 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_2_z3_t50s_E2.tif:0039-0096-1366:38,439,26,29
2,3D_Gap;stg[2]_2_z3_t50s_E2.tif:0039-0096-1366:38,340,28,39
