 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E5.tif:0072-0089-1303:71,427,24,62
2,3D_Gap;stg[2]_green_1_z3_t52_E5.tif:0072-0089-1303:71,316,26,72
