 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E14.tif:0076-0094-1296:75,418,28,66
2,3D_Gap;stg[2]_green_1_z3_t52_E14.tif:0076-0094-1296:75,321,26,76
