 ,Label,X,Y,Slice
1,3D_Gap;stg[2]_green_1_z3_t52_E15.tif:0070-0087-1328:69,433,27,60
2,3D_Gap;stg[2]_green_1_z3_t52_E15.tif:0070-0087-1328:69,324,23,70
