"Stock","Genotype","Embryos","Length.sum.mean","Length.sum.sd","Length.mean.mean","Length.mean.sd"
"btd","heterozygote",32,122.534375,45.5664322498906,64.3171875,16.6993848127708
"btd","homozygote",7,209.885714285714,28.5569856352422,52.6409523809524,3.85696926417128
"eve","heterozygote",20,107.58,28.1567529527484,55.625,9.65355811141811
"eve","homozygote",4,158,87.9313747570608,40.6291666666667,4.82647741725363
