 	Label	Angle	Length
41	btd-gap_dorsal_1_z1.5_t51s_E2:R_1:c:2/2 z:11/20 t:41/185 - btd-gap_dorsal_1_z1.5_t51s #02	-83.3	32.3
42	btd-gap_dorsal_1_z1.5_t51s_E2:R_2:c:2/2 z:10/20 t:39/185 - btd-gap_dorsal_1_z1.5_t51s #02	-105.0	66.7
43	btd-gap_dorsal_1_z1.5_t51s_E4:R_1:c:2/2 z:7/20 t:27/185 - btd-gap_dorsal_1_z1.5_t51s #04	-87.9	72.5
44	btd-gap_dorsal_1_z1.5_t51s_E4:L_1:c:2/2 z:7/20 t:30/185 - btd-gap_dorsal_1_z1.5_t51s #04	98.5	72.7
45	btd-gap_dorsal_1_z1.5_t51s_E5:R_1:c:2/2 z:7/20 t:73/185 - btd-gap_dorsal_1_z1.5_t51s #05	-81.3	70.9
46	btd-gap_dorsal_1_z1.5_t51s_E5:L_1:c:2/2 z:7/20 t:76/185 - btd-gap_dorsal_1_z1.5_t51s #05	84.4	83.2
47	btd-gap_dorsal_1_z1.5_t51s_E5:L_2:c:2/2 z:1/20 t:75/185 - btd-gap_dorsal_1_z1.5_t51s #05	86.3	30.6
48	btd-gap_dorsal_1_z1.5_t51s_E6:R_1:c:2/2 z:8/20 t:95/185 - btd-gap_dorsal_1_z1.5_t51s #06	-88.2	53.4
49	btd-gap_dorsal_1_z1.5_t51s_E6:R_2:c:2/2 z:1/20 t:89/185 - btd-gap_dorsal_1_z1.5_t51s #06	-94.6	38.9
50	btd-gap_dorsal_1_z1.5_t51s_E6:L_1:c:2/2 z:1/20 t:94/185 - btd-gap_dorsal_1_z1.5_t51s #06	91.9	74.8
51	btd-gap_dorsal_1_z1.5_t51s_E6:L_2:c:2/2 z:1/20 t:88/185 - btd-gap_dorsal_1_z1.5_t51s #06	79.5	44.0
52	btd-gap_dorsal_1_z1.5_t51s_E8:R_1:c:2/2 z:9/20 t:30/185 - btd-gap_dorsal_1_z1.5_t51s #08	-99.2	64.2
53	btd-gap_dorsal_1_z1.5_t51s_E8:L_1:c:2/2 z:11/20 t:30/185 - btd-gap_dorsal_1_z1.5_t51s #08	99.2	75.7
54	btd-gap_dorsal_1_z3_t45s_E1:R_1:c:2/2 z:7/15 t:60/220 - btd-gap_dorsal_1_z3_t45s #01	-79.2	72.3
55	btd-gap_dorsal_1_z3_t45s_E1:L_1:c:2/2 z:7/15 t:64/220 - btd-gap_dorsal_1_z3_t45s #01	73.1	82.5
56	btd-gap_dorsal_1_z3_t45s_E10:R_1:c:2/2 z:8/15 t:66/220 - btd-gap_dorsal_1_z3_t45s #10	-99.0	80.6
